date, pm10, no2, so2, co
2023/10/24, 33, 13, , 
2023/10/25, 28, 13, , 
2023/10/26, 28, 18, , 
2023/10/27, 35, 9, , 
2023/10/28, 12, 10, , 
2023/10/29, 16, 16, , 
2023/10/30, 25, 12, , 
2023/10/31, 17, 8, , 
2023/11/1, 18, 9, , 
2023/11/2, 20, 10, , 
2023/11/3, 17, 9, , 
2023/11/4, 21, 7, , 
2023/11/5, 18, 9, , 
2023/11/6, 13, 18, , 
2023/11/7, 24, 14, , 
2023/11/8, 23, 15, , 
2023/11/9, 26, 14, , 
2023/11/10, 24, 15, , 
2023/11/11, 30, 8, , 
2023/11/12, 20, 15, , 
2023/11/13, 30, 9, , 
2023/11/14, 15, 11, , 
2023/11/15, 11, 14, , 
2023/11/16, 22, 16, , 
2023/11/17, 24, 10, , 
2023/11/18, 14, 7, , 
2023/11/19, 19, 12, , 
2023/11/20, 15, 14, , 
2023/11/21, 13, 15, , 
2023/11/22, 27, 8, , 
2023/11/23, 19, 12, , 
2023/11/24, 14, 11, , 
2023/11/25, 14, 8, , 
2023/11/26, 14, 17, , 
2023/11/27, 40, 15, , 
2023/11/28, 35, 15, , 
2023/11/29, 37, 20, , 
2023/11/30, 47, 21, , 
2023/12/1, 92, 15, , 
2023/12/2, 35, 9, , 
2023/12/3, 23, 16, , 
2023/12/4, 47, 21, , 
2023/12/5, 56, 19, , 
2023/12/6, 62, 20, , 
2023/12/7, 58, 13, , 
2023/12/8, 58, 13, , 
2023/12/9, 32, 13, , 
2023/12/10, 34, 13, , 
2023/12/11, 18, 16, , 
2023/12/12, 24, 16, , 
2023/12/13, 39, 15, , 
2023/12/14, 29, 14, , 
2023/12/15, 28, 9, , 
2023/12/16, 25, 9, , 
2023/12/17, 22, 16, , 
2023/12/18, 28, 16, , 
2023/12/19, 26, 11, , 
2023/12/20, 13, 7, , 
2023/12/21, 8, 9, , 
2023/12/22, 13, 8, , 
2023/12/23, 13, 6, , 
2023/12/24, 12, 3, , 
2023/12/25, 7, 4, , 
2023/12/26, 8, 14, , 
2023/12/27, 27, 14, , 
2023/12/28, 29, 10, , 
2023/7/1, 21, 10, , 
2023/7/2, 17, 14, , 
2023/7/3, 23, 15, , 
2023/7/4, 24, 13, , 
2023/7/5, 22, 17, , 
2023/7/6, 21, 22, , 
2023/7/7, 30, 16, , 
2023/7/8, 24, 14, , 
2023/7/9, 25, 16, , 
2023/7/10, 27, 16, , 
2023/7/11, 21, 15, , 
2023/7/12, 23, 15, , 
2023/7/13, 16, 15, , 
2023/7/14, 19, 9, , 
2023/7/15, 19, 10, , 
2023/7/16, 20, 15, , 
2023/7/17, 19, 16, , 
2023/7/18, 20, 20, , 
2023/7/19, 26, 16, , 
2023/7/20, 21, 10, , 
2023/7/21, 18, 11, , 
2023/7/22, 15, 8, , 
2023/7/23, 20, 13, , 
2023/7/24, 20, 13, , 
2023/7/25, 15, 14, , 
2023/7/26, 14, 11, , 
2023/7/27, 14, 10, , 
2023/7/28, 12, 8, , 
2023/7/29, 13, 5, , 
2023/7/30, 10, 9, , 
2023/7/31, 14, 7, , 
2023/8/1, 14, 7, , 
2023/8/2, 11, 8, , 
2023/8/3, 12, 10, , 
2023/8/4, 14, 13, , 
2023/8/5, 20, 5, , 
2023/8/6, 10, 10, , 
2023/8/7, 10, 7, , 
2023/8/8, 11, 11, , 
2023/8/9, 11, 16, , 
2023/8/10, 19, 19, , 
2023/8/11, 27, 13, , 
2023/8/12, 27, 11, , 
2023/8/13, 18, 14, , 
2023/8/14, 22, 12, , 
2023/8/15, 28, 14, , 
2023/8/16, 31, 17, , 
2023/8/17, 29, 16, , 
2023/8/18, 23, 14, , 
2023/8/19, 25, 16, , 
2023/8/20, 27, 19, , 
2023/8/21, 25, 15, , 
2023/8/22, 25, 18, , 
2023/8/23, 20, 20, , 
2023/8/24, 30, 17, , 
2023/8/25, 30, 13, , 
2023/8/26, 18, 9, , 
2023/8/27, 16, 13, , 
2023/8/28, 14, 12, , 
2023/8/29, 20, 12, , 
2023/8/30, 13, 13, , 
2023/8/31, 15, 13, , 
2023/9/1, 16, 14, , 
2023/9/2, 17, 12, , 
2023/9/3, 19, 17, , 
