date, pm25, pm10, no2, co
2023/10/15, 42, 12, 12, 
2023/10/16, 47, 26, 13, 
2023/10/17, 76, 35, 15, 
2023/10/18, 96, 27, 11, 
2023/10/19, 79, 28, 6, 
2023/10/20, 75, 30, 7, 
2023/10/21, 64, 14, 7, 
2023/10/22, 47, 17, 15, 
2023/10/23, 53, 35, 14, 
2023/10/24, 87, 19, 11, 
2023/10/25, 63, 24, 12, 
2023/10/26, 69, 16, 12, 
2023/10/27, 53, 13, 10, 
2023/10/28, 46, 11, 4, 
2023/10/29, 42, 13, 7, 
2023/10/30, 41, 15, 8, 
2023/10/31, 44, 13, 7, 
2023/11/1, 47, 10, 5, 
2023/11/2, 35, 14, 10, 
2023/11/3, 43, 23, 14, 
2023/11/4, 62, 10, 5, 
2023/11/5, 42, 7, 10, 
2023/11/6, 27, , 11, 
2023/11/8, 68, 14, 7, 
2023/11/9, 50, 13, 9, 
2023/11/10, 42, 26, 9, 
2023/11/11, 82, 23, 7, 
2023/11/12, 73, 17, 10, 
2023/11/13, 59, 13, 9, 
2023/11/14, 47, 10, 12, 
2023/11/15, 42, 17, 10, 
2023/11/16, 59, 15, 12, 
2023/11/17, 55, 15, 6, 
2023/11/18, 60, 16, 5, 
2023/11/19, 61, 10, 8, 
2023/11/20, 45, 17, 9, 
2023/11/21, 58, 21, 13, 
2023/11/22, 68, 23, 10, 
2023/11/23, 76, 11, 14, 
2023/11/24, 41, 16, 13, 
2023/11/25, 60, 17, 9, 
2023/11/26, 60, 29, 15, 
2023/11/27, 79, 34, 22, 
2023/11/28, 98, 34, 16, 
2023/11/29, 104, 25, 13, 
2023/11/30, 79, , 27, 
2023/12/20, 80, 12, 8, 
2023/12/21, 49, 10, 12, 
2023/12/22, 35, 12, , 
2023/12/23, 35, 11, , 
2023/12/24, 44, 6, , 
2023/12/25, 25, 8, , 
2023/12/26, 31, 20, , 
2023/12/27, 52, 22, , 
2023/12/28, 70, 20, , 
2023/12/29, 70, , , 
2023/7/1, 73, 22, 6, 
2023/7/2, 65, 18, 10, 
2023/7/3, 50, 26, 9, 
2023/7/4, 66, 23, 10, 
2023/7/5, 61, 19, 9, 
2023/7/6, 52, 24, 14, 
2023/7/7, 54, 21, 11, 
2023/7/8, 57, 19, 8, 
2023/7/9, 54, 20, 14, 
2023/7/10, 49, 26, 12, 
2023/7/11, 64, 21, 7, 
2023/7/12, 60, 17, 8, 
2023/7/13, 56, 21, 12, 
2023/7/14, 54, 18, 6, 
2023/7/15, 53, 16, 5, 
2023/7/16, 47, 20, 11, 
2023/7/17, 53, 18, 9, 
2023/7/18, 48, 17, 8, 
2023/7/19, 49, 14, 11, 
2023/7/20, 47, 15, 8, 
2023/7/21, 47, 15, 8, 
2023/7/22, 49, 15, 5, 
2023/7/23, 48, 16, 5, 
2023/7/24, 46, 14, 11, 
2023/7/25, 47, 17, 9, 
2023/7/26, 53, 14, 11, 
2023/7/27, 45, 13, 7, 
2023/7/28, 45, 12, 7, 
2023/7/29, 41, 9, 6, 
2023/7/30, 33, 15, 11, 
2023/7/31, 49, 15, 6, 
2023/8/1, 46, 10, 8, 
2023/8/2, 34, 11, 8, 
2023/8/3, 35, 17, 12, 
2023/8/4, 47, 19, 10, 
2023/8/5, 60, 14, 4, 
2023/8/6, 45, 8, 9, 
2023/8/7, 31, 10, 11, 
2023/8/8, 33, 10, 9, 
2023/8/9, 35, 19, 12, 
2023/8/10, 60, 20, 16, 
2023/8/11, 57, 19, 10, 
2023/8/12, 57, 18, 6, 
2023/8/13, 57, 19, 5, 
2023/8/14, 56, 21, 6, 
2023/8/15, 54, 32, 9, 
2023/8/16, 70, 27, 19, 
2023/8/17, 66, 27, 18, 
2023/8/18, 69, 26, 11, 
2023/8/19, 74, 22, 10, 
2023/8/20, 67, 26, 17, 
2023/8/21, 69, 25, 16, 
2023/8/22, 65, 19, 17, 
2023/8/23, 55, 23, 23, 
2023/8/24, 61, 23, 10, 
2023/8/25, 64, 21, 10, 
2023/8/26, 59, 21, 10, 
2023/8/27, 59, 30, 17, 
2023/8/28, 79, 27, 15, 
2023/8/29, 71, 14, 11, 
2023/8/30, 47, 14, 13, 
2023/8/31, 49, 14, 12, 
2023/9/1, 46, 14, 11, 
2023/9/2, 48, 15, 10, 
2023/9/3, 54, 19, 18, 
2023/9/4, 57, 20, 15, 
2023/9/5, 58, 22, 17, 
2023/9/6, 59, 29, 18, 
2023/9/7, 73, 38, 23, 
2023/9/8, 90, 34, 16, 
2023/9/9, 87, 34, 11, 
2023/9/10, 85, 30, 14, 
2023/9/11, 74, 34, 14, 
2023/9/12, 82, 39, 14, 
2023/9/13, 82, 24, 16, 
2023/9/14, 70, 17, 19, 
2023/9/15, 46, 20, 13, 
2023/9/16, 60, 19, 7, 
2023/9/17, 60, 16, 7, 
2023/9/18, 53, 16, 9, 
2023/9/19, 56, 18, 13, 
2023/9/20, 53, 14, 10, 
2023/9/21, 42, 19, 7, 
2023/9/22, 52, 21, 8, 
2023/9/23, 57, 15, 7, 
2023/9/24, 56, 26, 11, 
2023/9/25, 70, 35, 12, 
2023/9/26, 82, 33, 16, 
2023/9/27, 73, 35, 17, 
2023/9/28, 80, 33, 16, 
2023/9/29, 79, 26, 11, 
2023/9/30, 74, 16, 9, 
2023/4/1, 50, 14, 8, 
2023/4/2, 54, 14, 14, 
2023/4/3, 47, 25, 14, 
2023/4/4, 58, 37, 17, 
2023/4/5, 73, 22, 14, 
2023/4/6, 72, 20, 12, 
2023/4/7, 70, 43, 15, 
2023/4/8, 114, 45, 12, 
2023/4/9, 122, 36, 12, 
2023/4/10, 99, 32, 16, 
2023/4/11, 80, 20, 16, 
2023/4/12, 59, 30, 13, 
2023/4/13, 79, 42, 17, 
2023/4/14, 82, 12, 9, 
2023/4/15, 42, 17, 12, 
2023/4/16, 53, 19, 14, 
2023/4/17, 62, 35, 16, 
2023/4/18, 66, 30, 16, 
2023/4/19, 74, 40, 21, 
2023/4/20, 73, 45, 24, 
2023/4/21, 73, 36, 15, 
2023/4/22, 87, 32, 13, 
2023/4/23, 83, 25, 7, 
2023/4/24, 62, 15, 11, 
2023/4/25, 58, 19, 13, 
2023/4/26, 53, 22, 14, 
2023/4/27, 60, 30, 16, 
2023/4/28, 77, 28, 12, 
2023/4/29, 72, 26, 11, 
2023/4/30, 75, 20, 10, 
2023/5/1, 55, 19, 12, 
2023/5/2, 51, 19, 14, 
2023/5/3, 65, 21, 14, 
2023/5/4, 59, 26, 12, 
2023/5/5, 62, 26, 5, 
2023/5/6, 61, 16, , 
2023/5/7, 55, 22, , 
2023/5/8, 53, 29, , 
2023/5/9, 66, 32, , 
2023/5/10, 61, 31, 15, 
2023/5/11, 57, 34, 13, 
2023/5/12, 57, 28, 13, 
2023/5/13, 62, 27, 13, 
2023/5/14, 64, 15, 9, 
2023/5/15, 52, 22, 14, 
2023/5/16, 60, 17, 11, 
2023/5/17, 56, 9, 13, 
2023/5/18, 36, 24, 15, 
2023/5/19, 68, 38, 12, 
2023/5/20, 88, 25, 11, 
2023/5/21, 54, 32, 17, 
2023/5/22, 58, 32, 17, 
2023/5/23, 65, 29, 11, 
2023/5/24, 79, 39, 11, 
2023/5/25, 99, 37, 13, 
2023/5/26, 91, 21, 11, 
2023/5/27, 51, 22, 14, 
2023/5/28, 47, 32, 20, 
2023/5/29, 58, 32, 17, 
2023/5/30, 61, 27, 15, 
2023/5/31, 53, 23, 14, 
2023/6/1, 51, 29, 12, 
2023/6/2, 60, 17, 12, 
2023/6/3, 43, 18, 13, 
2023/6/4, 43, 30, 19, 
2023/6/5, 52, 29, 18, 
2023/6/6, 62, 23, 12, 
2023/6/7, 69, 28, 7, 
2023/6/8, 78, 29, 11, 
2023/6/9, 73, 25, 10, 
2023/6/10, 68, 21, 9, 
2023/6/11, 60, 26, 16, 
2023/6/12, 50, 18, 13, 
2023/6/13, 50, 24, 12, 
2023/6/14, 66, 23, 14, 
2023/6/15, 64, 31, 18, 
2023/6/16, 78, 23, 10, 
2023/6/17, 71, 23, 6, 
2023/6/18, 70, 22, 12, 
2023/6/19, 61, 26, 15, 
2023/6/20, 68, 28, 12, 
2023/6/21, 70, 24, 11, 
2023/6/22, 66, 29, 13, 
2023/6/23, 76, 27, 8, 
2023/6/24, 75, 21, 7, 
2023/6/25, 57, 20, 12, 
2023/6/26, 53, 21, 11, 
2023/6/27, 58, 17, 11, 
2023/6/28, 40, 20, 11, 
2023/6/29, 59, 9, 13, 
2023/6/30, 31, 26, 11, 
2023/1/2, 37, 16, 11, 
2023/1/3, 42, 16, 7, 
2023/1/4, 46, 5, 8, 
2023/1/5, 18, 12, 5, 
2023/1/6, 33, 18, 10, 
2023/1/7, 52, 18, 6, 
2023/1/8, 49, 14, 5, 
2023/1/9, 44, 19, 11, 
2023/1/10, 55, 22, 10, 
2023/1/11, 59, 18, 8, 
2023/1/12, 52, 9, 3, 
2023/1/13, 31, 14, 6, 
2023/1/14, 43, 7, , 
2023/1/15, 26, 12, 9, 
2023/1/16, 36, 9, 8, 
2023/1/17, 30, 13, 13, 
2023/1/18, 42, 19, 17, 
2023/1/19, 57, 18, 12, 
2023/1/20, 53, 17, 10, 
2023/1/21, 45, 29, 10, 
2023/1/22, 69, 29, 15, 
2023/1/23, 73, 14, 11, 
2023/1/24, 43, 16, 14, 
2023/1/25, 48, 29, 14, 
2023/1/26, 64, 40, 15, 
2023/1/27, 83, 23, 10, 
2023/1/28, 57, 20, 7, 
2023/1/29, 51, 19, 5, 
2023/1/30, 55, 11, 9, 
2023/1/31, 34, 8, 9, 
2023/2/1, 26, 6, 9, 
2023/2/2, 22, 8, 7, 
2023/2/3, 27, 7, 6, 
2023/2/4, 24, 12, 5, 
2023/2/5, 40, 35, 15, 
2023/2/6, 73, 49, 16, 
2023/2/7, 107, 37, 17, 
2023/2/8, 70, 51, 14, 
2023/2/9, 95, 40, 11, 
2023/2/10, 76, 35, 7, 
2023/2/11, 80, 22, 10, 
2023/2/12, 55, 23, 12, 
2023/2/13, 61, 18, 11, 
2023/2/14, 51, 34, 14, 
2023/2/15, 72, 27, 10, 
2023/2/16, 67, 29, 10, 
2023/2/17, 73, 8, 7, 
2023/2/18, 21, 7, 8, 
2023/2/19, 26, 10, 7, 
2023/2/20, 25, 6, 8, 
2023/2/21, 15, 37, 14, 
2023/2/22, 51, 41, 14, 
2023/2/23, 91, 25, 5, 
2023/2/24, 80, 19, 8, 
2023/2/25, 67, 14, 6, 
2023/2/26, 54, 31, 18, 
2023/2/27, 60, 49, 18, 
2023/2/28, 111, 72, 23, 
2023/3/1, 150, 74, 24, 
2023/3/2, 153, 62, 20, 
2023/3/3, 146, 34, 11, 
2023/3/4, 95, 22, 10, 
2023/3/5, 62, 26, 11, 
2023/3/6, 64, 29, 8, 
2023/3/7, 78, 33, 13, 
2023/3/8, 73, 21, 11, 
2023/3/9, 71, 20, 6, 
2023/3/10, 64, 10, 5, 
2023/3/11, 42, 22, , 
2023/3/12, 67, 19, , 
2023/3/13, 60, 24, , 
2023/3/14, 56, 25, 17, 
2023/3/15, 63, 37, 15, 
2023/3/16, 79, 41, 15, 
2023/3/17, 98, 22, 10, 
2023/3/18, 59, 21, 8, 
2023/3/19, 66, 40, 17, 
2023/3/20, 102, 31, 16, 
2023/3/21, 96, 31, 13, 
2023/3/22, 84, 21, 9, 
2023/3/23, 60, 22, 8, 
2023/3/24, 62, 20, 11, 
2023/3/25, 65, 17, 11, 
2023/3/26, 51, 21, 17, 
2023/3/27, 71, 14, 10, 
2023/3/28, 48, 25, 14, 
2023/3/29, 66, 22, 7, 
2023/3/30, 65, 19, 7, 
2023/3/31, 63, 14, 10, 
2022/10/14, 62, 14, 15, 
2022/10/15, 43, 11, 8, 
2022/10/16, 35, 12, 5, 
2022/10/17, 35, 12, 11, 
2022/10/18, 36, 5, 11, 
2022/10/19, 19, 11, 12, 
2022/10/20, 33, 21, 14, 
2022/10/21, 51, 13, 13, 
2022/10/22, 40, 13, 8, 
2022/10/23, 42, 10, 11, 
2022/10/24, 33, 10, 7, 
2022/10/25, 34, 18, 14, 
2022/10/26, 46, 23, 16, 
2022/10/27, 51, 20, 15, 
2022/10/28, 48, 9, 11, 
2022/10/29, 26, 14, 4, 
2022/10/30, 36, 18, 7, 
2022/10/31, 44, 11, 8, 
2022/11/1, 31, 21, 3, 
2022/11/2, 52, 20, 14, 
2022/11/3, 47, 27, 10, 
2022/11/4, 56, 25, , 
2022/11/5, 62, 16, , 
2022/11/6, 47, 17, , 
2022/11/7, 48, 16, , 
2022/11/8, 47, 11, , 
2022/11/9, 35, 18, 7, 
2022/11/10, 52, , 12, 
2022/11/12, 60, 32, 14, 
2022/11/13, 73, 16, 13, 
2022/11/14, 47, 27, 7, 
2022/11/15, 55, 17, 13, 
2022/11/16, 45, 7, 13, 
2022/11/17, 26, 18, 10, 
2022/11/18, 51, 30, 12, 
2022/11/19, 76, 39, 10, 
2022/11/20, 90, 33, 13, 
2022/11/21, 79, 26, 12, 
2022/11/22, 67, 31, 11, 
2022/11/23, 72, 17, 13, 
2022/11/24, 50, 33, 10, 
2022/11/25, 79, 31, 13, 
2022/11/26, 77, 27, 12, 
2022/11/27, 70, 34, 8, 
2022/11/28, 75, 25, 12, 
2022/11/29, 63, 25, 10, 
2022/11/30, 57, 20, 12, 
2022/12/1, 54, 30, 11, 
2022/12/2, 64, 31, 12, 
2022/12/3, 71, 15, 8, 
2022/12/4, 47, 23, 5, 
2022/12/5, 56, 29, 9, 
2022/12/6, 69, 13, 11, 
2022/12/7, 41, 18, 9, 
2022/12/8, 51, 23, 9, 
2022/12/9, 56, 14, 12, 
2022/12/10, 47, 11, 9, 
2022/12/11, 39, 21, 5, 
2022/12/12, 60, 21, 10, 
2022/12/13, 58, 27, 13, 
2022/12/14, 70, 32, 16, 
2022/12/15, 76, 26, 16, 
2022/12/16, 65, 27, 15, 
2022/12/17, 70, 19, 9, 
2022/12/18, 56, 21, 9, 
2022/12/19, 58, 11, 12, 
2022/12/20, 38, 12, 3, 
2022/12/21, 40, 18, 6, 
2022/12/22, 54, 19, 7, 
2022/12/23, 58, 13, 7, 
2022/12/24, 43, 25, 6, 
2022/12/25, 68, 10, 11, 
2022/12/26, 34, 10, 2, 
2022/12/27, 26, 12, 9, 
2022/12/28, 34, 11, 7, 
2022/12/29, 32, 19, 3, 
2022/12/30, 54, 10, 9, 
2022/12/31, 36, 14, 1, 
2023/1/1, 45, 12, 4, 
2022/7/1, 12, 5, 6, 
2022/7/2, 7, 4, 6, 
2022/7/3, 5, 5, 15, 
2022/7/4, 8, 5, 16, 
2022/7/5, 8, 4, 10, 
2022/7/6, 4, 4, 11, 
2022/7/7, 4, 4, 13, 
2022/7/8, 4, 3, 6, 
2022/7/9, 3, 3, 4, 
2022/7/10, 5, 4, 8, 
2022/7/11, 9, 6, 8, 
2022/7/12, 13, 8, 9, 
2022/7/13, 14, 11, 12, 
2022/7/14, 26, 9, 8, 
2022/7/15, 22, 9, 8, 
2022/7/16, 23, 6, 4, 
2022/7/17, 11, 8, 10, 
2022/7/18, 20, 12, 10, 
2022/7/19, 33, 16, 14, 
2022/7/20, 42, 17, 18, 
2022/7/21, 42, 18, 14, 
2022/7/22, 48, 21, 9, 
2022/7/23, 58, 16, 5, 
2022/7/24, 47, 14, 12, 
2022/7/25, 38, 19, 13, 
2022/7/26, 51, 21, 11, 
2022/7/27, 59, 12, 15, 
2022/7/28, 34, 18, 18, 
2022/7/29, 40, 13, 10, 
2022/7/30, 40, 7, 5, 
2022/7/31, 20, 11, 10, 
2022/8/1, 30, 22, 11, 
2022/8/2, 66, 25, 12, 
2022/8/3, 67, 14, 12, 
2022/8/4, 37, 16, 10, 
2022/8/5, 43, 18, 4, 
2022/8/6, 46, 7, , 
2022/8/7, 12, 11, , 
2022/8/8, 23, 13, , 
2022/8/9, 28, 16, , 
2022/8/10, 38, 12, , 
2022/8/11, 32, 16, 23, 
2022/8/12, 51, 19, 12, 
2022/8/13, 60, 17, 10, 
2022/8/14, 56, 13, 9, 
2022/8/15, 42, 20, 16, 
2022/8/16, 62, 24, 18, 
2022/8/17, 69, 19, 12, 
2022/8/18, 60, 20, 16, 
2022/8/19, 57, 18, 15, 
2022/8/20, 51, 14, 13, 
2022/8/21, 45, 16, 17, 
2022/8/22, 50, 17, 18, 
2022/8/23, 51, 13, 14, 
2022/8/24, 38, , 19, 
2022/4/1, 29, 21, 10, 
2022/4/2, 66, 24, 7, 
2022/4/3, 63, 23, 7, 
2022/4/4, 61, 23, 10, 
2022/4/5, 66, 21, 10, 
2022/4/6, 57, 18, 7, 
2022/4/7, 41, 15, 12, 
2022/4/8, 29, 19, 13, 
2022/4/9, 52, 23, 11, 
2022/4/10, 61, 23, 15, 
2022/4/11, 62, 25, 17, 
2022/4/12, 63, 43, 24, 
2022/4/13, 97, 43, 22, 
2022/4/14, 92, 37, 15, 
2022/4/15, 83, 16, 6, 
2022/4/16, 45, 12, 5, 
2022/4/17, 36, 12, 7, 
2022/4/18, 31, 26, 16, 
2022/4/19, 64, 42, 17, 
2022/4/20, 96, 34, 15, 
2022/4/21, 90, 28, 16, 
2022/4/22, 78, 28, 14, 
2022/4/23, 75, 29, 8, 
2022/4/24, 80, 17, 16, 
2022/4/25, 48, 27, 16, 
2022/4/26, 70, 39, 22, 
2022/4/27, 88, 30, 23, 
2022/4/28, 64, 39, 20, 
2022/4/29, 87, 39, 18, 
2022/4/30, 92, 39, 17, 
2022/5/1, 91, 37, 21, 
2022/5/2, 83, 31, 10, 
2022/5/3, 74, 32, 23, 
2022/5/4, 62, 27, 15, 
2022/5/5, 55, 27, 15, 
2022/5/6, 65, 39, 16, 
2022/5/7, 90, 34, 12, 
2022/5/8, 83, 26, 17, 
2022/5/9, 53, 25, 19, 
2022/5/10, 40, 26, 13, 
2022/5/11, 50, 41, 13, 
2022/5/12, 54, 39, 16, 
2022/5/13, 58, 24, 11, 
2022/5/14, 54, 26, 10, 
2022/5/15, 52, 21, 16, 
2022/5/16, 36, 29, 18, 
2022/5/17, 41, 27, 14, 
2022/5/18, 28, 24, 14, 
2022/5/19, 38, 29, 13, 
2022/5/20, 40, 27, 9, 
2022/5/21, 36, 12, 7, 
2022/5/22, 27, 18, 11, 
2022/5/23, 47, 19, 9, 
2022/5/24, 43, 20, 11, 
2022/5/25, 48, 20, 15, 
2022/5/26, 39, 14, 10, 
2022/5/27, 22, 13, 8, 
2022/5/28, 27, 11, 7, 
2022/5/29, 25, 17, 12, 
2022/5/30, 44, 21, 13, 
2022/5/31, 51, 22, 14, 
2022/6/1, 54, 24, 16, 
2022/6/2, 60, 24, 18, 
2022/6/3, 51, 31, 16, 
2022/6/4, 76, 27, 9, 
2022/6/5, 73, 26, 16, 
2022/6/6, 56, 20, 9, 
2022/6/7, 45, 29, 14, 
2022/6/8, 65, 29, 12, 
2022/6/9, 71, 22, 12, 
2022/6/10, 58, 18, 7, 
2022/6/11, 46, 16, 8, 
2022/6/12, 37, 17, 9, 
2022/6/13, 39, 16, 12, 
2022/6/14, 35, 21, 13, 
2022/6/15, 45, 17, 6, 
2022/6/16, 41, 17, 9, 
2022/6/17, 43, 15, 8, 
2022/6/18, 35, 17, 3, 
2022/6/19, 35, 21, 9, 
2022/6/20, 34, 16, 9, 
2022/6/21, 32, 18, 10, 
2022/6/22, 28, 28, 15, 
2022/6/23, 44, 24, 11, 
2022/6/24, 42, 27, 13, 
2022/6/25, 45, 27, 8, 
2022/6/26, 46, 25, 10, 
2022/6/27, 47, 31, 12, 
2022/6/28, 60, 19, 11, 
2022/6/29, 43, 6, 14, 
2022/6/30, 10, 7, 17, 
2022/1/3, 37, 18, 3, 2
2022/1/4, 55, 18, 14, 3
2022/1/5, 54, 12, 2, 2
2022/1/6, 34, 30, 7, 3
2022/1/7, 58, 46, 12, 5
2022/1/8, 97, 70, 17, 11
2022/1/9, 152, 47, 20, 8
2022/1/10, 113, 39, 15, 4
2022/1/11, 96, 57, 14, 4
2022/1/12, 122, 34, 12, 3
2022/1/13, 93, 24, 8, 3
2022/1/14, 69, 27, 8, 3
2022/1/15, 72, 40, 6, 4
2022/1/16, 104, 17, 8, 3
2022/1/17, 50, 22, 13, 2
2022/1/18, 63, 29, 9, 3
2022/1/19, 77, 27, 7, 3
2022/1/20, 69, 16, 8, 2
2022/1/21, 47, 19, 6, 2
2022/1/22, 57, 24, 7, 3
2022/1/23, 71, 71, 22, 10
2022/1/24, 161, 46, 14, 5
2022/1/25, 123, 25, 11, 3
2022/1/26, 72, 33, 8, 4
2022/1/27, 94, 13, 10, 2
2022/1/28, 42, 17, 5, 2
2022/1/29, 44, 9, 1, 1
2022/1/30, 24, 31, 14, 3
2022/1/31, 69, 37, 11, 3
2022/2/1, 84, 18, 10, 3
2022/2/2, 54, 23, 12, 2
2022/2/3, 62, 23, 5, 2
2022/2/4, 66, 20, 6, 2
2022/2/5, 59, 15, 2, 1
2022/2/6, 49, 14, 10, 3
2022/2/7, 44, 19, 11, 2
2022/2/8, 52, 17, 14, 3
2022/2/9, 53, 25, 9, 2
2022/2/10, 68, 26, 13, 2
2022/2/11, 67, 33, 11, 3
2022/2/12, 71, 23, 4, 2
2022/2/13, 56, 31, 5, 2
2022/2/14, 76, 31, 5, 2
2022/2/15, 81, 33, 5, 2
2022/2/16, 85, 13, 4, 1
2022/2/17, 36, 17, 10, 2
2022/2/18, 36, 16, 4, 1
2022/2/19, 32, 14, 4, 2
2022/2/20, 41, 21, 13, 3
2022/2/21, 59, 22, 15, 3
2022/2/22, 52, 17, 12, 2
2022/2/23, 48, 24, 9, 3
2022/2/24, 59, 32, 16, 4
2022/2/25, 76, 57, 19, 6
2022/2/26, 137, 38, 15, 4
2022/2/27, 98, 42, 27, 6
2022/2/28, 86, 53, 24, 7
2022/3/1, 118, 52, 21, 5
2022/3/2, 122, 58, 23, 5
2022/3/3, 131, 45, 19, 4
2022/3/4, 105, 40, 19, 4
2022/3/5, 83, 32, 15, 3
2022/3/6, 78, 39, 15, 3
2022/3/7, 92, 36, 15, 3
2022/3/8, 82, 43, 24, 5
2022/3/9, 114, 33, 22, 4
2022/3/10, 74, 58, 27, 7
2022/3/11, 117, 60, 18, 7
2022/3/12, 128, 56, 15, 6
2022/3/13, 131, 47, 15, 5
2022/3/14, 108, 47, 14, 4
