date, pm10
2018/6/9, 15
2018/6/10, 13
2018/6/11, 15
2018/6/12, 10
2018/6/13, 11
2018/6/14, 10
2018/6/15, 12
2018/6/16, 15
2018/6/17, 13
2018/6/18, 9
2018/6/19, 10
2018/6/20, 11
2018/6/21, 20
2018/6/22, 5
2018/6/23, 4
2018/6/24, 2
2018/6/25, 6
2018/6/26, 9
2018/6/27, 9
2018/6/28, 10
2018/6/29, 15
2018/6/30, 7
2018/1/1, 28
2018/1/2, 43
2018/1/3, 14
2018/1/4, 15
2018/1/5, 17
2018/1/6, 49
2018/1/7, 29
2018/1/8, 29
2018/1/9, 46
2018/1/10, 50
2018/1/11, 98
2018/1/12, 37
2018/1/13, 29
2018/1/14, 44
2018/1/15, 38
2018/1/16, 23
2018/1/17, 21
2018/1/18, 12
2018/1/19, 55
2018/1/20, 54
2018/1/21, 41
2018/1/22, 45
2018/1/23, 60
2018/1/24, 45
2018/1/25, 78
2018/1/26, 81
2018/1/27, 69
2018/1/28, 19
2018/1/29, 11
2018/1/30, 32
2018/1/31, 48
2018/2/1, 27
2018/2/2, 39
2018/2/3, 71
2018/2/4, 39
2018/2/5, 37
2018/2/6, 86
2018/2/7, 81
2018/2/8, 55
2018/2/9, 65
2018/2/10, 43
2018/2/11, 44
2018/2/12, 51
2018/2/13, 70
2018/2/14, 47
2018/2/15, 43
2018/2/16, 57
2018/2/17, 55
2018/2/18, 42
2018/2/19, 73
2018/2/20, 68
2018/2/21, 55
2018/2/22, 28
2018/2/23, 42
2018/2/24, 40
2018/2/25, 30
2018/2/26, 40
2018/2/27, 41
2018/2/28, 39
2018/3/1, 77
2018/3/2, 91
2018/3/3, 96
2018/3/4, 112
2018/3/5, 95
2018/3/6, 92
2018/3/7, 53
2018/3/8, 63
2018/3/9, 48
2018/3/10, 74
2018/3/11, 68
2018/3/12, 47
2018/3/13, 32
2018/3/14, 21
2018/3/15, 43
2018/3/16, 23
2018/3/17, 19
2018/3/18, 26
2018/3/19, 31
2018/3/20, 51
2018/3/21, 35
2018/3/22, 58
2018/3/23, 40
2018/3/24, 47
2018/3/25, 50
2018/3/26, 69
2018/3/27, 52
2018/3/28, 58
2018/3/29, 47
2018/3/30, 53
2018/3/31, 40
2017/10/1, 47
2017/10/2, 33
2017/10/3, 23
2017/10/4, 16
2017/10/5, 9
2017/10/6, 9
2017/10/7, 10
2017/10/8, 25
2017/10/9, 47
2017/10/10, 41
2017/10/11, 20
2017/10/12, 21
2017/10/13, 41
2017/10/14, 56
2017/10/15, 43
2017/10/16, 47
2017/10/17, 51
2017/10/18, 63
2017/10/19, 47
2017/10/20, 56
2017/10/21, 76
2017/10/22, 35
2017/10/23, 23
2017/10/24, 31
2017/10/25, 30
2017/10/26, 50
2017/10/27, 9
2017/10/28, 10
2017/10/29, 2
2017/10/30, 10
2017/10/31, 17
2017/11/1, 16
2017/11/2, 27
2017/11/3, 33
2017/11/4, 63
2017/11/5, 54
2017/11/6, 18
2017/11/7, 25
2017/11/8, 49
2017/11/9, 45
2017/11/10, 21
2017/11/11, 15
2017/11/12, 22
2017/11/13, 15
2017/11/14, 44
2017/11/15, 38
2017/11/16, 90
2017/11/17, 55
2017/11/18, 42
2017/11/19, 17
2017/11/20, 25
2017/11/21, 43
2017/11/22, 43
2017/11/23, 99
2017/11/24, 70
2017/11/25, 14
2017/11/26, 43
2017/11/27, 21
2017/11/28, 17
2017/11/29, 36
2017/11/30, 31
2017/12/1, 71
2017/12/2, 85
2017/12/3, 60
2017/12/4, 19
2017/12/5, 24
2017/12/6, 20
2017/12/7, 39
2017/12/8, 26
2017/12/9, 21
2017/12/10, 14
2017/12/11, 16
2017/12/12, 16
2017/12/13, 20
2017/12/14, 12
2017/12/15, 53
2017/12/16, 72
2017/12/17, 31
2017/12/18, 115
2017/12/19, 67
2017/12/20, 63
2017/12/21, 40
2017/12/22, 38
2017/12/23, 15
2017/12/24, 14
2017/12/25, 18
2017/12/26, 57
2017/12/27, 23
2017/12/28, 18
2017/12/29, 28
2017/12/30, 41
2017/12/31, 16
2017/7/10, 11
2017/7/11, 9
2017/7/12, 9
2017/7/13, 13
2017/7/14, 13
2017/7/15, 14
2017/7/16, 12
2017/7/17, 12
2017/7/18, 12
2017/7/19, 14
2017/7/20, 13
2017/7/21, 12
2017/7/22, 13
2017/7/23, 12
2017/7/24, 10
2017/7/25, 9
2017/7/26, 6
2017/7/27, 7
2017/7/28, 12
2017/7/29, 16
2017/7/30, 11
2017/7/31, 13
2017/8/1, 20
2017/8/2, 13
2017/8/3, 16
2017/8/4, 15
2017/8/5, 14
2017/8/6, 8
2017/8/7, 12
2017/8/8, 13
2017/8/9, 15
2017/8/10, 17
2017/8/11, 7
2017/8/12, 10
2017/8/13, 9
2017/8/14, 11
2017/8/15, 11
2017/8/16, 13
2017/8/17, 12
2017/8/18, 18
2017/8/19, 10
2017/8/20, 11
2017/8/21, 10
2017/8/22, 14
2017/8/23, 16
2017/8/24, 22
2017/8/25, 22
2017/8/26, 18
2017/8/27, 16
2017/8/28, 14
2017/8/29, 17
2017/8/30, 20
2017/8/31, 16
2017/9/1, 4
2017/9/2, 8
2017/9/3, 6
2017/9/4, 17
2017/9/5, 21
2017/9/10, 10
2017/9/11, 15
2017/9/15, 23
2017/9/16, 18
2017/9/17, 25
2017/9/18, 28
2017/9/19, 23
2017/9/20, 31
2017/9/21, 12
2017/9/22, 27
2017/9/23, 19
2017/9/24, 22
2017/9/25, 31
2017/9/26, 31
2017/9/27, 45
2017/9/28, 40
2017/9/29, 48
2017/9/30, 46
2017/4/1, 44
2017/4/2, 35
2017/4/3, 35
2017/4/4, 48
2017/4/5, 43
2017/4/6, 16
2017/4/7, 15
2017/4/8, 23
2017/4/9, 39
2017/4/10, 39
2017/4/11, 18
2017/4/12, 23
2017/4/13, 21
2017/4/14, 29
2017/4/15, 35
2017/4/16, 17
2017/4/17, 27
2017/4/18, 23
2017/4/19, 24
2017/4/20, 32
2017/4/21, 48
2017/4/22, 19
2017/4/23, 18
2017/4/24, 24
2017/4/25, 37
2017/4/26, 22
2017/4/27, 24
2017/4/28, 18
2017/4/29, 30
2017/4/30, 26
2017/5/1, 28
2017/5/2, 40
2017/5/3, 38
2017/5/4, 19
2017/5/5, 29
2017/5/6, 34
2017/5/7, 22
2017/5/8, 13
2017/5/9, 18
2017/5/10, 34
2017/5/11, 32
2017/5/12, 33
2017/5/13, 33
2017/5/14, 28
2017/5/15, 22
2017/5/16, 20
2017/5/17, 25
2017/5/18, 27
2017/5/19, 29
2017/5/20, 18
2017/5/21, 16
2017/5/22, 17
2017/5/23, 23
2017/5/24, 17
2017/5/25, 17
2017/5/26, 19
2017/5/27, 17
2017/5/28, 16
2017/5/29, 16
2017/5/30, 22
2017/5/31, 16
2017/6/1, 12
2017/6/2, 16
2017/6/3, 24
2017/6/4, 16
2017/6/5, 13
2017/6/6, 15
2017/6/7, 15
2017/6/8, 15
2017/6/9, 15
2017/6/10, 13
2017/6/11, 17
2017/6/12, 17
2017/6/13, 15
2017/6/14, 14
2017/6/15, 13
2017/6/16, 14
2017/6/17, 14
2017/6/18, 16
2017/6/19, 14
2017/6/20, 14
2017/6/21, 13
2017/6/22, 16
2017/6/23, 15
2017/6/24, 19
2017/6/25, 15
2017/6/26, 10
2017/6/27, 12
2017/6/28, 13
2017/6/29, 8
2017/6/30, 12
2017/1/2, 74
2017/1/3, 44
2017/1/4, 19
2017/1/5, 20
2017/1/6, 23
2017/1/7, 146
2017/1/8, 166
2017/1/9, 142
2017/1/10, 85
2017/1/11, 133
2017/1/12, 50
2017/1/13, 23
2017/1/14, 33
2017/1/15, 37
2017/1/16, 37
2017/1/17, 51
2017/1/18, 55
2017/1/19, 120
2017/1/20, 181
2017/1/21, 111
2017/1/22, 131
2017/1/23, 97
2017/1/24, 108
2017/1/25, 139
2017/1/26, 94
2017/1/27, 156
2017/1/28, 87
2017/1/29, 123
2017/1/30, 195
2017/1/31, 84
2017/2/1, 102
2017/2/2, 62
2017/2/3, 149
2017/2/4, 155
2017/2/5, 96
2017/2/6, 64
2017/2/7, 58
2017/2/8, 51
2017/2/9, 67
2017/2/10, 111
2017/2/11, 125
2017/2/12, 129
2017/2/13, 170
2017/2/14, 240
2017/2/15, 132
2017/2/16, 122
2017/2/17, 94
2017/2/18, 47
2017/2/19, 67
2017/2/20, 49
2017/2/21, 22
2017/2/22, 29
2017/2/23, 22
2017/2/24, 18
2017/2/25, 57
2017/2/26, 34
2017/2/27, 53
2017/2/28, 37
2017/3/1, 27
2017/3/2, 18
2017/3/3, 30
2017/3/4, 43
2017/3/5, 44
2017/3/6, 59
2017/3/7, 43
2017/3/8, 64
2017/3/9, 57
2017/3/10, 26
2017/3/11, 30
2017/3/12, 37
2017/3/13, 64
2017/3/14, 72
2017/3/15, 59
2017/3/16, 53
2017/3/17, 52
2017/3/18, 21
2017/3/19, 28
2017/3/20, 32
2017/3/21, 41
2017/3/22, 18
2017/3/23, 49
2017/3/24, 50
2017/3/25, 42
2017/3/26, 36
