date, pm25, pm10
2024/2/22, 63, 17
2024/2/23, 60, 20
2024/2/24, 60, 24
2024/2/25, 71, 23
2024/2/26, 70, 35
2024/2/27, 94, 37
2024/2/28, 94, 26
2024/2/29, 79, 47
2024/3/1, 128, 40
2024/3/2, 104, 34
2024/3/3, 89, 30
2024/3/4, 87, 21
2024/3/5, 69, 19
2024/3/6, 65, 26
2024/3/7, 75, 65
2024/3/8, 143, 52
2024/3/9, 129, 23
2024/3/10, 75, 23
2024/3/11, 73, 22
2024/3/12, 69, 16
2024/3/13, 60, 30
2024/3/14, 89, 28
2024/3/15, 82, 28
2024/3/16, 83, 13
2024/3/17, 39, 17
2024/3/18, 45, 23
2024/3/19, 64, 32
2024/3/20, 81, 35
2024/3/21, 93, 28
2024/3/22, 80, 21
2024/3/23, 68, 16
2024/3/24, 55, 18
2024/3/25, 57, 19
2024/3/26, 59, 15
2024/3/27, 39, 27
2024/3/28, 53, 10
2024/3/29, 29, 48
2024/3/30, 69, 47
2024/3/31, 63, 88
2023/10/1, 32, 16
2023/10/2, 43, 14
2023/10/3, 39, 9
2023/10/4, 23, 14
2023/10/5, 38, 13
2023/10/6, 35, 9
2023/10/7, 22, 5
2023/10/8, 13, 16
2023/10/9, 46, 28
2023/10/10, 75, 23
2023/10/11, 62, 24
2023/10/12, 55, 18
2023/10/13, 52, 18
2023/10/14, 43, 8
2023/10/15, 23, 8
2023/10/16, 27, 21
2023/10/17, 60, 32
2023/10/18, 88, 37
2023/10/19, 104, 23
2023/10/20, 70, 38
2023/10/21, 82, 21
2023/10/22, 62, 15
2023/10/23, 43, 22
2023/10/24, 67, 16
2023/10/25, 51, 16
2023/10/26, 50, 20
2023/10/27, 62, 12
2023/10/28, 41, 11
2023/10/29, 38, 12
2023/10/30, 35, 17
2023/10/31, 47, 13
2023/11/1, 41, 11
2023/11/2, 38, 10
2023/11/3, 32, 15
2023/11/4, 46, 16
2023/11/5, 54, 7
2023/11/6, 20, 22
2023/11/7, 63, 21
2023/11/8, 64, 17
2023/11/9, 56, 18
2023/11/10, 55, 22
2023/11/11, 70, 22
2023/11/12, 71, 26
2023/11/13, 77, 13
2023/11/14, 42, 10
2023/11/15, 32, 21
2023/11/16, 65, 13
2023/11/17, 50, 10
2023/11/18, 45, 18
2023/11/19, 66, 24
2023/11/20, 75, 18
2023/11/21, 63, 30
2023/11/22, 85, 20
2023/11/23, 65, 13
2023/11/24, 38, 20
2023/11/25, 66, 19
2023/11/26, 60, 23
2023/11/27, 68, 32
2023/11/28, 94, 34
2023/11/29, 97, 46
2023/11/30, 127, 62
2023/12/1, 154, 39
2023/12/2, 116, 22
2023/12/3, 74, 33
2023/12/4, 96, 45
2023/12/5, 127, 46
2023/12/6, 130, 30
2023/12/7, 92, 36
2023/12/8, 107, 44
2023/12/9, 126, 29
2023/12/10, 91, 23
2023/12/11, 75, 19
2023/12/12, 63, 26
2023/12/13, 82, 28
2023/12/14, 88, 16
2023/12/15, 58, 18
2023/12/16, 65, 12
2023/12/17, 48, 14
2023/12/18, 49, 16
2023/12/19, 50, 8
2023/12/20, 33, 8
2023/12/21, 31, 6
2023/12/22, 20, 8
2023/12/23, 27, 8
2023/12/24, 31, 3
2023/12/25, 13, 4
2023/12/26, 16, 13
2023/12/27, 40, 27
2023/12/28, 81, 25
2023/12/29, 79, 
2023/9/9, 72, 34
2023/9/10, 76, 29
2023/9/11, 65, 33
2023/9/12, 75, 37
2023/9/13, 81, 11
2023/9/14, 34, 10
2023/9/15, 21, 15
2023/9/16, 41, 12
2023/9/17, 40, 18
2023/9/18, 53, 16
2023/9/19, 47, 14
2023/9/20, 38, 12
2023/9/21, 31, 16
2023/9/22, 39, 14
2023/9/23, 38, 10
2023/9/24, 31, 9
2023/9/25, 27, 28
2023/9/26, 69, 34
2023/9/27, 74, 31
2023/9/28, 70, 31
2023/9/29, 70, 20
2023/9/30, 52, 11
2024/1/6, , 11
2023/9/8, , 31
