date, pm25, pm10, no2
2020/12/28, 52, 10, 3
2020/12/29, 36, 29, 9
2020/12/30, 84, 36, 11
2020/12/31, 101, 37, 7
2021/1/1, 103, 73, 11
2021/1/2, 161, 76, 9
2021/1/3, 171, 75, 9
2020/7/1, 17, 12, 2
2020/7/2, 24, 17, 3
2020/7/3, 34, 11, 2
2020/7/4, 27, 7, 1
2020/7/5, 18, 9, 2
2020/7/6, 17, 14, 2
2020/7/7, 20, 12, 2
2020/7/8, 23, 15, 2
2020/7/9, 36, 16, 2
2020/7/10, 31, 11, 2
2020/7/11, 19, 10, 1
2020/7/12, 20, 9, 4
2020/7/13, 18, 12, 4
2020/7/14, 27, 15, 3
2020/7/15, 32, 11, 2
2020/7/16, 27, 13, 2
2020/7/17, 26, 15, 2
2020/7/18, 40, 16, 2
2020/7/19, 45, 15, 3
2020/7/20, 38, 16, 3
2020/7/21, 35, 17, 5
2020/7/22, 29, 14, 5
2020/7/23, 26, 15, 3
2020/7/24, 36, 15, 3
2020/7/25, 35, 15, 3
2020/7/26, 40, 13, 3
2020/7/27, 25, 16, 3
2020/7/28, 31, 19, 3
2020/7/29, 36, 26, 6
2020/7/30, 41, 24, 6
2020/7/31, 33, 13, 2
2020/8/1, 25, 18, 3
2020/8/2, 39, 14, 3
2020/8/3, 33, 6, 2
2020/8/4, 16, 11, 3
2020/8/5, 24, 21, 5
2020/8/6, 49, 31, 7
2020/8/7, 69, 34, 5
2020/8/8, 73, 31, 6
2020/8/9, 73, 23, 5
2020/8/10, 49, 24, 5
2020/8/11, 49, 19, 4
2020/8/12, 40, 25, 6
2020/8/13, 42, 24, 6
2020/8/14, 48, 17, 3
2020/8/15, 42, 15, 2
2020/8/16, 33, 13, 3
2020/8/17, 36, 19, 3
2020/8/18, 49, 18, 3
2020/8/19, 53, 15, 4
2020/8/20, 37, 16, 3
2020/8/21, 43, 14, 1
2020/8/22, 30, 8, 1
2020/8/23, 19, 7, 2
2020/8/24, 16, 11, 3
2020/8/25, 20, 14, 2
