date, pm10, o3, no2, so2
2023/5/29, 15, 46, 4, 3
2023/5/30, 21, 45, 4, 3
2023/5/31, 15, 46, 3, 2
2023/6/1, 15, 57, 3, 3
2023/6/2, 18, 36, 4, 3
2023/6/3, 11, 35, 1, 2
2023/6/4, 10, 41, 2, 2
2023/6/5, 16, 35, 3, 2
2023/6/6, 12, 33, 3, 2
2023/6/7, 10, 27, 2, 2
2023/6/8, 9, 35, 1, 2
2023/6/9, 10, 27, 2, 2
2023/6/10, 15, 38, 2, 2
2023/6/11, 10, 40, 1, 2
2023/6/12, 15, 36, 1, 2
2023/6/13, 9, 37, 1, 2
2023/6/14, 10, 33, 2, 2
2023/6/15, 12, 44, 2, 3
2023/6/16, 16, 49, 3, 3
2023/6/17, 12, 42, 2, 2
2023/6/18, 10, 46, 3, 3
2023/6/19, 11, 54, 2, 2
2023/6/20, 18, 66, 3, 3
2023/6/21, 17, 46, 2, 2
2023/6/22, 17, 55, 2, 2
2023/6/23, 18, 41, 2, 2
2023/6/24, 10, 29, 3, 2
2023/6/25, 13, 40, 2, 3
2023/6/26, 14, 49, 3, 3
2023/6/27, 10, 31, 2, 3
2023/6/28, 7, 29, 2, 3
2023/6/29, 11, 40, 2, 3
2023/6/30, 13, 39, 2, 3
2023/1/2, 9, 18, 7, 3
2023/1/3, 14, 25, 3, 2
2023/1/4, 7, 23, 3, 2
2023/1/5, 6, 20, 4, 1
2023/1/6, 6, 21, 4, 1
2023/1/7, 9, 23, 1, 1
2023/1/8, 7, 27, 3, 2
2023/1/9, 10, 26, 5, 1
2023/1/10, 12, 25, 4, 1
2023/1/11, 12, 23, 2, 1
2023/1/12, 7, 22, 2, 1
2023/1/13, 6, 27, 1, 1
2023/1/14, 6, 28, 1, 1
2023/1/15, 6, 24, 2, 1
2023/1/16, 5, 28, 1, 1
2023/1/17, 5, 23, 7, 3
2023/1/18, 11, 14, 10, 3
2023/1/19, 18, 11, 14, 5
2023/1/20, 26, 14, 10, 3
2023/1/21, 18, 11, 10, 5
2023/1/22, 34, 9, 9, 3
2023/1/23, 21, 15, 9, 3
2023/1/24, 20, 19, 5, 2
2023/1/25, 13, 14, 12, 5
2023/1/26, 31, 21, 13, 6
2023/1/27, 35, 18, 8, 4
2023/1/28, 26, 28, 5, 3
2023/1/29, 15, 24, 3, 2
2023/1/30, 9, 23, 5, 3
2023/1/31, 8, 25, 5, 4
2023/2/1, 8, 23, 6, 3
2023/2/2, 7, 25, 4, 2
2023/2/3, 7, 22, 6, 2
2023/2/4, 9, 19, 7, 4
2023/2/5, 16, 20, 8, 5
2023/2/6, 29, 16, 12, 7
2023/2/7, 41, 26, 14, 6
2023/2/8, 46, 33, 2, 2
2023/2/9, 11, 31, 5, 3
2023/2/10, 22, 23, 7, 2
2023/2/11, 22, 21, 7, 2
2023/2/12, 15, 20, 8, 3
2023/2/13, 15, 20, 8, 3
2023/2/14, 20, 31, 7, 3
2023/2/15, 21, 29, 4, 2
2023/2/16, 18, 23, 5, 2
2023/2/17, 14, 24, 3, 3
2023/2/18, 7, 24, 3, 2
2023/2/19, 8, 27, 3, 3
2023/2/20, 7, 24, 4, 3
2023/2/21, 9, 25, 4, 2
2023/2/22, 14, 26, 2, 1
2023/2/23, 11, 24, 2, 
2023/2/24, 13, 25, 3, 2
2023/2/25, 7, 25, 6, 1
2023/2/26, 9, 25, 7, 3
2023/2/27, 13, 27, 5, 1
2023/2/28, 17, 26, 9, 2
2023/3/1, 27, 26, 10, 2
2023/3/2, 32, 21, 12, 2
2023/3/3, 41, 23, 6, 3
2023/3/4, 20, 28, 5, 3
2023/3/5, 10, 28, 3, 1
2023/3/6, 9, 29, 3, 1
2023/3/7, 15, 31, 3, 1
2023/3/8, 10, 27, 3, 1
2023/3/9, 6, 34, 1, 1
2023/3/10, 6, 26, 4, 1
2023/3/11, 7, 32, 3, 1
2023/3/12, 7, 33, 2, 1
2023/3/13, 9, 33, 3, 1
2023/3/14, 8, 26, 8, 1
2023/3/15, 12, 27, 7, 2
2023/3/16, 22, 33, 2, 1
2023/3/17, 11, 38, 2, 1
2023/3/18, 11, 38, 2, 1
2023/3/19, 13, 32, 5, 3
2023/3/20, 22, 19, 6, 1
2023/3/21, 16, 31, 3, 1
2023/3/22, 13, 37, 2, 1
2023/3/23, 12, 38, 2, 1
2023/3/24, 13, 29, 4, 3
2023/3/25, 8, 31, 2, 2
2023/3/26, 4, 25, 4, 1
2023/3/27, 12, 29, 4, 1
2023/3/28, 12, 33, 3, 1
2023/3/29, 9, 32, 2, 1
2023/3/30, 9, 35, 2, 1
2023/3/31, 7, 30, 3, 2
2022/10/1, 12, 22, 3, 4
2022/10/2, 8, 17, 5, 2
2022/10/3, 8, 17, 5, 2
