date, pm10, o3, no2, so2, co
2024/2/5, 7, 22, 2, 1, 
2024/2/6, 12, 27, 2, 2, 
2024/2/7, 7, 20, 8, 4, 
2024/2/8, 12, 13, 10, 4, 
2024/2/9, 20, 15, 11, 4, 
2024/2/10, 29, 14, 5, 3, 
2024/2/11, 24, 16, 5, 2, 
2024/2/12, 8, 23, 3, 1, 
2024/2/13, 10, 21, 13, 4, 
2024/2/14, 30, 15, 14, 5, 
2024/2/15, 56, 25, 13, 4, 
2024/2/16, 71, 25, 3, , 
2024/2/17, 13, 24, 3, , 
2024/2/18, 9, 24, 7, 2, 
2024/2/19, 19, 24, 3, , 
2024/2/20, 7, 19, 5, 1, 
2024/2/21, 10, 21, 9, 5, 
2024/2/22, 21, 20, 8, 3, 
2024/2/23, 14, 27, 7, 3, 
2024/2/24, 12, 28, 8, 4, 
2024/2/25, 22, 21, 9, 5, 
2024/2/26, 26, 21, 12, 3, 
2024/2/27, 35, 9, 9, 2, 
2024/2/28, 39, 16, 5, 1, 
2024/2/29, 23, 14, 6, 2, 
2024/3/1, 43, 9, 6, 2, 
2024/3/2, 34, 27, 4, 2, 
2024/3/3, 30, 12, 6, 2, 
2024/3/4, 34, 12, 7, 1, 
2024/3/5, 26, 20, 8, 2, 
2024/3/6, 34, 26, 5, 1, 
2024/3/7, 23, 31, 8, 2, 
2024/3/8, 27, 28, 7, 4, 
2024/3/9, 36, 26, 3, 3, 
2024/3/10, 22, 25, 3, 2, 
2024/3/11, 18, 10, 5, 2, 
2024/3/12, 19, 18, 8, 3, 
2024/3/13, 22, 27, 10, 5, 
2024/3/14, 47, 27, 10, 3, 
2024/3/15, 28, 27, 7, 3, 
2024/3/16, 18, 32, 1, 1, 
2024/3/17, 7, 26, 2, 2, 
2024/3/18, 8, 25, 5, 2, 
2024/3/19, 14, 26, 12, 5, 
2024/3/20, 39, 32, 14, 6, 
2024/3/21, 44, 26, 6, 2, 
2024/3/22, 19, 33, 4, 3, 
2024/3/23, 13, 30, 4, 4, 
2024/3/24, 8, 23, 5, 3, 
2024/3/25, 9, 32, 8, 4, 
2024/3/26, 19, 32, 4, 5, 
2024/3/27, 15, 36, 5, 4, 
2024/3/28, 22, 37, 4, 3, 
2024/3/29, 9, 32, 4, 4, 
