date, pm25, pm10
2023/11/26, 32, 28
2023/11/27, 79, 32
2023/11/28, 92, 32
2023/11/29, 88, 40
2023/11/30, 104, 71
2023/12/1, 167, 35
2023/12/2, 93, 12
2023/12/3, 47, 51
2023/12/4, 135, 69
2023/12/5, 155, 92
2023/12/6, 186, 67
2023/12/7, 156, 60
2023/12/8, 140, 75
2023/12/9, 169, 19
2023/12/10, 54, 13
2023/12/11, 32, 19
2023/12/12, 53, 39
2023/12/13, 105, 31
2023/12/14, 89, 26
2023/12/15, 77, 17
2023/12/16, 53, 20
2023/12/17, 57, 36
2023/12/18, 65, 31
2023/12/19, 77, 6
2023/12/20, 21, 3
2023/12/21, 12, 8
2023/12/22, 23, 7
2023/12/23, 28, 9
2023/12/24, 31, 6
2023/12/25, 19, 6
2023/12/26, 20, 29
2023/12/27, 63, 28
2023/12/28, 66, 10
2023/12/29, 42, 
2023/9/9, 50, 15
2023/9/10, 36, 19
2023/9/11, 37, 23
2023/9/12, 52, 25
2023/9/13, 54, 8
2023/9/14, 15, 14
2023/9/15, 25, 13
2023/9/16, 37, 12
2023/9/17, 26, 19
2023/9/18, 46, 12
2023/9/19, 26, 8
2023/9/20, 15, 14
2023/9/21, 25, 14
2023/9/22, 27, 6
2023/9/23, 12, 7
2023/9/24, 22, 13
2023/9/25, 35, 20
2023/9/26, 48, 23
2023/9/27, 44, 24
2023/9/28, 45, 26
2023/9/29, 48, 15
2023/9/30, 35, 12
2024/5/1, , 19
2024/5/2, , 18
2024/5/3, , 13
2024/5/4, , 12
2024/5/5, , 16
2024/5/6, , 9
2024/5/7, , 13
2024/5/8, , 16
2024/5/9, , 17
2024/5/10, , 17
2024/5/11, , 14
2024/5/12, , 12
2024/5/13, , 15
2024/5/14, , 15
2024/5/15, , 22
2024/5/16, , 19
2024/5/17, , 20
2024/5/18, , 10
2024/5/19, , 10
2024/5/20, , 9
2024/5/21, , 15
2024/5/22, , 19
2024/4/1, , 56
2024/4/2, , 10
2024/4/3, , 11
2024/4/4, , 12
2024/4/5, , 11
2024/4/6, , 13
2024/4/7, , 21
2024/4/8, , 26
2024/4/9, , 31
2024/4/10, , 20
2024/4/11, , 22
2024/4/12, , 24
2024/4/13, , 22
2024/4/14, , 22
2024/4/15, , 19
2024/4/16, , 10
2024/4/17, , 8
2024/4/18, , 11
2024/4/19, , 9
2024/4/20, , 6
2024/4/21, , 13
2024/4/22, , 12
2024/4/23, , 25
2024/4/24, , 22
2024/4/25, , 14
2024/4/26, , 11
2024/4/27, , 15
2024/4/28, , 16
2024/4/29, , 21
2024/4/30, , 22
2024/1/6, , 18
2024/2/2, , 9
2024/2/3, , 6
2024/2/4, , 10
2024/2/5, , 17
2024/2/6, , 7
2024/2/7, , 12
2024/2/8, , 23
2024/2/9, , 31
2024/2/10, , 18
2024/2/11, , 9
2024/2/12, , 24
2024/2/13, , 34
2024/2/14, , 31
2024/2/15, , 35
2024/2/16, , 16
2024/2/17, , 15
2024/2/18, , 17
2024/2/19, , 12
2024/2/20, , 20
2024/2/21, , 14
2024/2/22, , 16
2024/2/23, , 27
2024/2/24, , 34
2024/2/25, , 25
2024/2/26, , 42
2024/2/27, , 37
2024/2/28, , 34
2024/2/29, , 42
2024/3/1, , 43
2024/3/2, , 22
2024/3/3, , 32
2024/3/4, , 44
2024/3/5, , 33
2024/3/6, , 36
2024/3/7, , 51
2024/3/8, , 39
2024/3/9, , 22
2024/3/10, , 27
2024/3/11, , 37
2024/3/12, , 31
2024/3/13, , 31
2024/3/14, , 30
2024/3/15, , 16
2024/3/16, , 11
2024/3/17, , 19
2024/3/18, , 32
2024/3/19, , 45
2024/3/20, , 37
2024/3/21, , 21
2024/3/22, , 16
2024/3/23, , 14
2024/3/24, , 13
2024/3/25, , 23
2024/3/26, , 19
2024/3/27, , 22
2024/3/28, , 12
2024/3/29, , 67
2024/3/30, , 81
2023/9/8, , 21
