date, pm10, o3, no2, so2, co
2020/10/9, 26, 17, 6, 3, 4
2020/10/10, 23, 17, 2, 3, 2
2020/10/11, 11, 14, 4, 3, 2
2020/10/12, 8, 13, 10, 5, 4
2020/10/13, 12, 15, 6, 5, 3
2020/10/14, 7, 14, 5, 5, 3
2020/10/15, 22, 10, 3, 5, 3
2020/10/16, 20, 10, 4, 4, 3
2020/10/17, 8, 24, 2, 2, 2
2020/10/18, 7, 24, 5, 3, 2
2020/10/19, 24, 24, 9, 6, 5
2020/10/20, 42, 22, 10, 9, 6
2020/10/21, 51, 22, 10, 6, 6
2020/10/22, 52, 16, 10, 7, 7
2020/10/23, 60, 22, 6, 6, 4
2020/10/24, 50, 9, 5, 5, 5
2020/10/25, 33, 29, 3, 5, 4
2020/10/26, 27, 31, , 7, 4
2020/10/27, 30, 20, 12, 7, 8
2020/10/28, 51, 23, 5, 5, 5
2020/10/29, 25, 24, 3, 3, 4
2020/10/30, 11, 22, 5, 4, 5
2020/10/31, 25, 20, 5, 7, 7
2020/11/1, 36, 11, 6, 6, 6
2020/11/2, 31, 10, 6, 4, 5
2020/11/3, 19, 25, 4, 4, 5
2020/11/4, 16, 23, 4, 2, 4
2020/11/5, 25, 18, 10, 2, 8
2020/11/6, 28, 14, 7, 6, 9
2020/11/7, 53, 15, 7, 6, 8
2020/11/8, 50, 15, 9, 8, 8
2020/11/9, 58, 13, 11, 8, 8
2020/11/10, 42, 6, 7, 7, 7
2020/11/11, 34, 13, 6, 8, 6
2020/11/12, 38, 19, 6, 9, 7
2020/11/13, 37, 5, 11, 7, 11
2020/11/14, 29, 13, 9, 7, 12
2020/11/15, 32, 14, 6, 8, 8
2020/11/16, 26, 22, 6, 5, 6
2020/11/17, 29, 20, 10, 8, 9
2020/11/18, 60, 16, 9, 7, 10
2020/11/19, 31, 27, 2, 4, 5
2020/11/20, 20, 22, 11, 10, 9
2020/11/21, 58, 24, 12, 9, 12
2020/11/22, 39, 21, 6, 6, 7
2020/11/23, 21, 16, 7, 7, 9
2020/11/24, 46, 13, 18, 12, 13
2020/11/25, 60, 11, 18, 13, 15
2020/11/26, 73, 16, 13, 10, 12
2020/11/27, 67, 21, 5, 6, 7
2020/11/28, 27, 15, 4, 6, 6
2020/11/29, 23, 11, 8, 12, 9
2020/11/30, 50, 13, 15, 14, 12
2020/12/1, 74, 17, 19, 7, 15
2020/12/2, 92, 24, 13, 15, 12
2020/12/3, 79, 29, 1, 9, 6
2020/12/4, 19, 31, 1, 11, 6
2020/12/5, 44, 34, 1, 8, 6
2020/12/6, 33, 33, 3, 7, 7
2020/12/7, 15, 14, 11, 7, 10
2020/12/8, 34, 8, 14, 2, 10
2020/12/9, 33, 6, 10, 2, 8
2020/12/10, 48, 11, 9, 7, 7
2020/12/11, 47, 19, 15, 4, 9
2020/12/12, 44, 7, 17, 3, 12
2020/12/13, 50, 5, 18, , 14
2020/12/14, 36, 6, 23, 1, 14
2020/12/15, 65, 6, 15, 3, 14
2020/12/16, 85, 3, 13, 3, 20
2020/12/17, 63, 11, 11, 5, 11
2020/12/18, 59, 8, 18, 4, 12
2020/12/19, 39, 8, 13, 4, 16
2020/12/20, 43, 8, 12, 4, 10
2020/12/21, 64, 11, 13, 6, 8
2020/12/22, 43, 13, 11, 4, 4
2020/12/23, 36, 20, 6, 3, 4
2020/12/24, 25, 23, 2, 2, 4
2020/12/25, 12, 21, 8, 1, 4
2020/12/26, 33, 23, 10, 4, 4
2020/12/27, 38, 29, 1, 6, 3
2020/12/28, 16, 32, 1, 5, 3
2020/12/29, 25, 30, 10, 4, 7
2020/12/30, 57, 14, 10, 3, 10
2020/12/31, 62, 19, 13, 3, 10
2021/1/1, 52, 29, 4, 4, 6
2021/1/2, 59, 29, 7, 4, 7
2021/1/3, 48, 4, 19, 3, 13
2020/7/1, 12, 35, 2, 2, 2
2020/7/2, 9, 27, 2, 2, 2
2020/7/3, 10, 35, 2, 2, 2
2020/7/4, 13, 37, 3, 2, 2
2020/7/5, 13, 27, 2, 2, 2
2020/7/6, 9, 26, 2, 2, 1
2020/7/7, 11, 30, 3, 2, 2
2020/7/8, 12, 29, 3, 4, 2
2020/7/9, 8, 39, 3, 3, 2
2020/7/10, 15, 33, 3, 2, 2
2020/7/11, 11, 29, 1, 2, 2
2020/7/12, 7, 28, 2, 3, 2
2020/7/13, 12, 30, 3, 3, 2
2020/7/14, 12, 33, 2, 4, 2
2020/7/15, 14, 26, 4, 3, 3
2020/7/16, 11, 29, 3, 4, 2
2020/7/17, 11, 24, 4, 3, 3
2020/7/18, 12, 34, 2, 4, 3
2020/7/19, 9, 39, 2, 3, 3
2020/7/20, 11, 37, 3, 3, 3
2020/7/21, 16, 42, 3, 3, 5
2020/7/22, 18, 43, 4, 3, 3
2020/7/23, 18, 41, 3, 3, 3
2020/7/24, 17, 43, 5, 3, 4
2020/7/25, 17, 32, 4, 3, 4
2020/7/26, 16, 41, 3, 3, 4
2020/7/27, 12, 36, 5, 3, 4
2020/7/28, 14, 35, 5, 3, 4
2020/7/29, 13, 46, 5, 3, 3
2020/7/30, 18, 40, 6, 4, 3
2020/7/31, 22, 35, 4, 4, 3
2020/8/1, 16, 35, 4, 4, 3
2020/8/2, 12, 34, 4, 5, 3
2020/8/3, 16, 35, 3, 5, 3
2020/8/4, 12, 20, 1, 4, 2
2020/8/5, 8, 31, 4, 4, 3
2020/8/6, 18, 47, 6, 4, 4
2020/8/7, 27, 44, 5, 4, 4
2020/8/8, 25, 41, 3, 4, 3
2020/8/9, 19, 40, 3, 4, 3
2020/8/10, 15, 37, 3, 5, 3
2020/8/11, 18, 45, 4, 5, 3
2020/8/12, 17, 45, 6, 5, 3
2020/8/13, 19, 42, 6, 5, 3
2020/8/14, 20, 46, 4, 6, 3
2020/8/15, 22, 30, 4, 5, 3
2020/8/16, 18, 33, 4, 6, 4
2020/8/17, 12, 32, 3, 6, 3
2020/8/18, 10, 30, 4, 6, 4
2020/8/19, 9, 39, 4, 6, 3
2020/8/20, 17, 41, 5, 5, 3
2020/8/21, 14, 38, 4, 6, 3
2020/8/22, 13, 30, 2, 6, 2
2020/8/23, 9, 33, 2, 6, 3
2020/8/24, 10, , , 7, 
2020/8/25, 13, 36, 2, 7, 1
2020/8/26, 15, 28, 2, 6, 1
2020/8/27, 11, 46, 3, 7, 1
2020/8/28, 14, 44, 1, 8, 2
2020/8/29, 23, 42, , 7, 2
2020/8/30, 16, 34, 1, 6, 2
2020/8/31, 7, 26, 1, 7, 3
2020/9/1, 5, 21, 2, 6, 3
2020/9/2, 10, 23, 4, 6, 3
2020/9/3, 13, 32, 4, 5, 3
2020/9/4, 14, 27, 4, 6, 4
2020/9/5, 12, 21, 3, 6, 4
2020/9/6, 8, 23, 2, 6, 3
2020/9/7, 12, 28, 3, 3, 4
2020/9/8, 14, 44, 6, 2, 4
2020/9/9, 20, 20, 4, 2, 5
2020/9/10, 14, 23, 4, 3, 4
2020/9/11, 17, 29, 8, 1, 6
2020/9/12, 21, 37, 6, , 5
2020/9/13, 18, 33, 7, , 5
2020/9/14, 17, 32, 9, 1, 6
2020/9/15, 18, 33, 8, 2, 6
2020/9/16, 26, 27, 6, 1, 5
2020/9/17, 23, 26, 5, 1, 4
2020/9/18, 17, 28, 9, 2, 6
2020/9/19, 19, 28, 7, 2, 6
2020/9/20, 20, 34, 8, 2, 6
2020/9/21, 26, 34, 9, 3, 7
2020/9/22, 29, 38, 6, 3, 6
2020/9/23, 32, 26, 8, 3, 7
2020/9/24, 27, 32, 4, 4, 5
2020/9/25, 15, 34, 3, 4, 5
2020/9/26, 5, 20, 2, 3, 5
2020/9/27, 7, 9, 10, 4, 6
2020/9/28, 12, 18, 4, 3, 4
2020/9/29, 12, 20, 6, 3, 2
2020/9/30, 8, 10, 6, 4, 3
2020/4/1, 39, 42, 6, 5, 5
2020/4/2, 44, 41, 9, 7, 5
2020/4/3, 47, 40, 6, 6, 5
2020/4/4, 42, 39, 5, 5, 4
2020/4/5, 34, 43, 6, 6, 5
2020/4/6, 43, 42, 6, 4, 4
2020/4/7, 46, 47, 8, 4, 4
2020/4/8, 40, 46, 7, 6, 4
2020/4/9, 45, 39, 3, 4, 4
2020/4/10, 27, 43, 4, 5, 4
2020/4/11, 32, 42, 3, 5, 4
2020/4/12, 32, 45, 1, 5, 4
2020/4/13, 21, 30, 2, 4, 3
2020/4/14, 18, 37, 4, 3, 3
2020/4/15, 20, 42, 3, 4, 3
2020/4/16, 23, 46, 4, 5, 4
2020/4/17, 33, 44, 4, 6, 4
2020/4/18, 30, 39, 3, 6, 4
2020/4/19, 30, 40, 3, 5, 4
2020/4/20, 28, 37, 2, 5, 2
2020/4/21, 34, 40, 5, 5, 2
2020/4/22, 37, 41, 4, 4, 2
2020/4/23, 30, 44, 4, 5, 2
2020/4/24, 28, 44, 2, 7, 2
2020/4/25, 32, 39, 2, 6, 2
2020/4/26, 23, 41, 3, 5, 2
2020/4/27, 21, 42, 4, 5, 3
2020/4/28, 28, 36, 3, 6, 3
2020/4/29, 20, 39, 3, 5, 2
2020/4/30, 17, 32, 2, 6, 3
2020/5/1, 19, 35, 2, 5, 2
2020/5/2, 15, 32, 1, 4, 2
2020/5/3, 12, 38, 2, 4, 2
2020/5/4, 17, 35, 4, 5, 2
2020/5/5, 24, 32, 3, 1, 2
2020/5/6, 16, 38, 3, 1, 2
2020/5/7, 30, 41, 4, 1, 2
2020/5/8, 29, 48, 3, 2, 2
2020/5/9, 27, 51, 2, 3, 2
2020/5/10, 26, 45, , 3, 2
2020/5/11, 24, 32, 1, 2, 1
2020/5/12, 17, 28, 3, 2, 2
2020/5/13, 24, 28, 4, 3, 3
2020/5/14, 19, 29, 6, 2, 3
2020/5/15, 23, 39, 3, 1, 2
2020/5/16, 22, 43, 3, 2, 2
2020/5/17, 27, 45, 3, 1, 1
2020/5/18, 22, 43, 1, 1, 1
2020/5/19, 18, 40, 1, 1, 1
2020/5/20, 15, 38, 2, 1, 1
2020/5/21, 21, 41, 2, 2, 1
2020/5/22, 18, 39, 3, 2, 2
2020/5/23, 16, 33, 1, 1, 1
2020/5/24, 9, 27, 2, 1, 1
2020/5/25, 8, 29, 3, 1, 1
2020/5/26, 10, 32, 2, 1, 2
2020/5/27, 18, 38, 3, 1, 3
2020/5/28, 14, 27, 3, 2, 4
2020/5/29, 20, 28, 2, 2, 4
2020/5/30, 14, 28, 3, 2, 4
2020/5/31, 7, 36, 2, 2, 3
2020/6/1, 18, 36, 3, 3, 3
2020/6/2, 19, 40, 3, 3, 3
2020/6/3, 17, 40, 3, 4, 5
2020/6/4, 19, 38, 1, 4, 3
2020/6/5, 12, 32, 1, 2, 3
2020/6/6, 13, 43, 1, 3, 3
2020/6/7, 17, 36, 2, 2, 3
2020/6/8, 11, 29, 1, 2, 3
2020/6/9, 12, 28, 2, 2, 4
2020/6/10, 12, 27, 2, 2, 4
2020/6/11, 9, 39, 5, 2, 3
2020/6/12, 17, 43, 4, 2, 2
2020/6/13, 20, 30, 1, 2, 1
2020/6/14, 16, 25, 1, 2, 1
2020/6/15, 14, 26, 1, 2, 1
2020/6/16, 12, 28, 4, 2, 2
2020/6/17, 15, 33, 2, 2, 2
2020/6/18, 13, 28, 4, 2, 2
2020/6/19, 7, 25, 2, 2, 2
2020/6/20, 5, 26, 2, 2, 2
2020/6/21, 5, 27, 2, 2, 1
2020/6/22, 6, 38, 2, 2, 1
2020/6/23, 12, 34, 1, 1, 1
2020/6/24, 14, 37, 3, 1, 3
2020/6/25, 12, 38, 3, 2, 2
2020/6/26, 12, 43, 3, 2, 2
2020/6/27, 13, 40, 3, 2, 2
2020/6/28, 11, 37, 2, 2, 2
2020/6/29, 8, 34, 3, 2, 1
2020/6/30, 10, 30, 3, 2, 2
2020/1/1, 37, 8, 40, 7, 13
2020/1/2, 79, 22, 34, 14, 13
2020/1/3, 124, 30, 4, 4, 3
2020/1/4, 12, 30, 2, 2, 3
