date, pm10, o3, no2
2024/1/31, 20, 26, 4
2024/2/1, 14, 23, 3
2024/2/2, 15, 23, 2
2024/2/3, 7, 33, 1
2024/2/4, 6, 27, 1
2024/2/5, 10, 22, 2
2024/2/6, 13, 29, 2
2024/2/7, 7, 21, 9
2024/2/8, 18, 16, 8
2024/2/9, 20, 18, 6
2024/2/10, 19, 21, 4
2024/2/11, 17, 20, 3
2024/2/12, 9, 20, 6
2024/2/13, 17, 25, 7
2024/2/14, 24, 17, 5
2024/2/15, 13, 28, 5
2024/2/16, 19, 24, 2
2024/2/17, 12, 26, 2
2024/2/18, 11, 26, 2
2024/2/19, 10, 25, 2
2024/2/20, 8, 23, 3
2024/2/21, 15, 26, 3
2024/2/22, 10, 30, 4
2024/2/23, 9, 31, 3
2024/2/24, 11, 26, 5
2024/2/25, 23, 27, 9
2024/2/26, 23, 9, 10
2024/2/27, 46, 10, 7
2024/2/28, 27, 13, 8
2024/2/29, 29, 18, 12
2024/3/1, 46, 21, 8
2024/3/2, 39, 29, 4
2024/3/3, 20, 17, 7
2024/3/4, 36, 11, 5
2024/3/5, 42, 16, 5
2024/3/6, 28, 29, 5
2024/3/7, 26, 27, 9
2024/3/8, 37, 29, 7
2024/3/9, 37, 28, 4
2024/3/10, 20, 22, 6
2024/3/11, 23, 7, 7
2024/3/12, 40, 16, 9
2024/3/13, 30, 29, 7
2024/3/14, 31, 24, 6
2024/3/15, 30, 28, 2
2024/3/16, 12, 33, 2
2024/3/17, 11, 28, 4
2024/3/18, 11, 23, 6
2024/3/19, 21, 31, 10
2024/3/20, 40, 27, 10
2024/3/21, 47, 24, 3
2024/3/22, 15, 31, 3
2024/3/23, 13, 32, 2
2024/3/24, 11, 24, 4
2024/3/25, 10, 34, 6
2024/3/26, 20, 33, 4
2024/3/27, 19, 36, 3
2024/3/28, 17, 36, 2
2024/3/29, 10, 30, 2
2024/3/30, 53, 31, 1
2024/3/31, 66, 29, 2
2023/10/1, 8, 32, 4
2023/10/2, 9, 34, 4
2023/10/3, 12, 26, 2
2023/10/4, 6, 26, 2
2023/10/5, 8, 25, 2
2023/10/6, 7, 23, 1
2023/10/7, 6, 26, 1
2023/10/8, 2, 14, 4
2023/10/9, 5, 10, 5
2023/10/10, 12, 28, 3
2023/10/11, 14, 24, 3
2023/10/12, 12, 21, 3
2023/10/13, 12, 25, 1
2023/10/14, 11, 26, 
2023/10/15, 4, 23, 2
2023/10/16, 5, 18, 4
2023/10/17, 12, 20, 7
2023/10/18, 18, 9, 11
2023/10/19, 28, 1, 6
2023/10/20, 29, 16, 6
2023/10/21, 18, 21, 3
2023/10/22, 11, 18, 5
2023/10/23, 11, 10, 8
2023/10/24, 19, 18, 5
2023/10/25, 12, 14, 5
2023/10/26, 9, 8, 6
2023/10/27, 12, 21, 1
2023/10/28, 5, 18, 1
2023/10/29, 6, 17, 4
2023/10/30, 8, 22, 2
2023/10/31, 14, 21, 2
2023/11/1, 6, 26, 3
2023/11/2, 9, 25, 5
2023/11/3, 5, 22, 2
2023/11/4, 5, 24, 1
2023/11/5, 4, 21, 2
2023/11/6, 5, 23, 3
2023/11/7, 6, 19, 3
2023/11/8, 8, 18, 6
2023/11/9, 9, 15, 8
2023/11/10, 15, 11, 7
2023/11/11, 26, 16, 3
2023/11/12, 7, 20, 5
2023/11/13, 10, 21, 3
2023/11/14, 8, 19, 3
2023/11/15, 3, 17, 5
2023/11/16, 11, 15, 6
2023/11/17, 13, 13, 5
2023/11/18, 10, 19, 3
2023/11/19, 10, 23, 3
2023/11/20, 5, 20, 5
2023/11/21, 9, 14, 8
2023/11/22, 21, 17, 4
2023/11/23, 11, 29, 3
2023/11/24, 5, 24, 3
2023/11/25, 7, 23, 3
2023/11/26, 8, 12, 8
2023/11/27, 17, 12, 10
2023/11/28, 26, 14, 9
2023/11/29, 23, 14, 13
2023/11/30, 32, 6, 17
2023/12/1, 59, 13, 9
2023/12/2, 32, 12, 6
2023/12/3, 13, 9, 15
2023/12/4, 34, 9, 17
2023/12/5, 42, 5, 18
2023/12/6, 51, 2, 16
2023/12/7, 60, 3, 19
2023/12/8, 56, 12, 9
2023/12/9, 21, 23, 5
2023/12/10, 11, 26, 3
2023/12/11, 6, 25, 7
2023/12/12, 11, 9, 12
2023/12/13, 26, 8, 8
2023/12/14, 23, 10, 8
2023/12/15, 19, 18, 4
2023/12/16, 13, 14, 5
2023/12/17, 13, 13, 8
2023/12/18, 14, 18, 5
2023/12/19, 11, 22, 4
2023/12/20, 5, 32, 2
2023/12/21, 4, 31, 1
2023/12/22, 5, 30, 2
2023/12/23, 3, 28, 2
2023/12/24, 3, 29, 1
2023/12/25, 2, 28, 1
2023/12/26, 4, 27, 7
2023/12/27, 15, 20, 3
2023/12/28, 11, 20, 2
2023/9/9, 19, 48, 6
2023/9/10, 16, 53, 6
2023/9/11, 14, 54, 8
2023/9/12, 20, 43, 6
2023/9/13, 18, 23, 4
2023/9/14, 6, 26, 7
2023/9/15, 7, 36, 4
2023/9/16, 8, 35, 3
2023/9/17, 11, 36, 4
2023/9/18, 14, 28, 4
2023/9/19, 6, 34, 4
2023/9/20, 7, 35, 4
2023/9/21, 10, 25, 4
2023/9/22, 9, 23, 3
2023/9/23, 3, 25, 6
2023/9/24, 6, 19, 6
2023/9/25, 7, 14, 7
2023/9/26, 12, 37, 7
2023/9/27, 18, 40, 7
2023/9/28, 20, 37, 5
2023/9/29, 17, 26, 3
2023/9/30, 11, 27, 3
2024/1/6, , 25, 2
2023/9/8, , 38, 8
