date, pm25, pm10
2024/2/21, 80, 28
2024/2/22, 78, 19
2024/2/23, 61, 24
2024/2/24, 69, 39
2024/2/25, 107, 38
2024/2/26, 91, 59
2024/2/27, 140, 44
2024/2/28, 119, 56
2024/2/29, 135, 68
2024/3/1, 159, 63
2024/3/2, 146, 40
2024/3/3, 103, 46
2024/3/4, 117, 40
2024/3/5, 108, 35
2024/3/6, 91, 34
2024/3/7, 84, 51
2024/3/8, 117, 44
2024/3/9, 107, 20
2024/3/10, 57, 29
2024/3/11, 69, 44
2024/3/12, 116, 44
2024/3/13, 118, 40
2024/3/14, 103, 31
2024/3/15, 81, 12
2024/3/16, 40, 6
2024/3/17, 20, 6
2024/3/18, 21, 24
2024/3/19, 70, 45
2024/3/20, 113, 49
2024/3/21, 119, 19
2024/3/22, 49, 13
2024/3/23, 42, 8
2024/3/24, 31, 8
2024/3/25, 27, 19
2024/3/26, 51, 15
2024/3/27, 32, 17
2024/3/28, 31, 7
2024/3/29, 17, 58
2024/3/30, 78, 70
2024/3/31, 84, 69
2023/10/1, 36, 13
2023/10/2, 36, 19
2023/10/3, 49, 9
2023/10/4, 30, 11
2023/10/5, 36, 10
2023/10/6, 33, 11
2023/10/7, 33, 7
2023/10/8, 25, 11
2023/10/9, 40, 19
2023/10/10, 57, 22
2023/10/11, 56, 20
2023/10/12, 52, 18
2023/10/13, 48, 17
2023/10/14, 45, 9
2023/10/15, 29, 9
2023/10/16, 30, 18
2023/10/17, 54, 27
2023/10/18, 68, 26
2023/10/19, 72, 28
2023/10/20, 76, 22
2023/10/21, 60, 12
2023/10/22, 42, 16
2023/10/23, 47, 24
2023/10/24, 62, 17
2023/10/25, 51, 13
2023/10/26, 42, 17
2023/10/27, 53, 10
2023/10/28, 35, 10
2023/10/29, 34, 12
2023/10/30, 35, 10
2023/10/31, 30, 9
2023/11/1, 33, 12
2023/11/2, 34, 8
2023/11/3, 29, 9
2023/11/4, 33, 9
2023/11/5, 33, 8
2023/11/6, 28, 14
2023/11/7, 40, 10
2023/11/8, 37, 13
2023/11/9, 43, 18
2023/11/10, 55, 21
2023/11/11, 64, 11
2023/11/12, 42, 14
2023/11/13, 45, 9
2023/11/14, 31, 7
2023/11/15, 26, 17
2023/11/16, 50, 15
2023/11/17, 52, 13
2023/11/18, 46, 16
2023/11/19, 55, 8
2023/11/20, 32, 10
2023/11/21, 39, 19
2023/11/22, 61, 15
2023/11/23, 50, 9
2023/11/24, 31, 10
2023/11/25, 38, 11
2023/11/26, 41, 22
2023/11/27, 67, 28
2023/11/28, 82, 27
2023/11/29, 79, 30
2023/11/30, 85, 64
2023/12/1, 159, 36
2023/12/2, 102, 16
2023/12/3, 56, 38
2023/12/4, 105, 33
2023/12/5, 91, 43
2023/12/6, 115, 28
2023/12/7, 79, 24
2023/12/8, 70, 21
2023/12/9, 67, 20
2023/12/10, 66, 13
2023/12/11, 49, 16
2023/12/12, 49, 33
2023/12/13, 87, 34
2023/12/14, 94, 27
2023/12/15, 77, 19
2023/12/16, 62, 20
2023/12/17, 64, 29
2023/12/18, 79, 37
2023/12/19, 95, 13
2023/12/20, 48, 7
2023/12/21, 27, 10
2023/12/22, 33, 8
2023/12/23, 33, 11
2023/12/24, 44, 6
2023/12/25, 24, 8
2023/12/26, 33, 24
2023/12/27, 66, 26
2023/12/28, 79, 55
2023/12/29, 152, 
2023/9/9, 62, 25
2023/9/10, 66, 26
2023/9/11, 61, 32
2023/9/12, 67, 35
2023/9/13, 73, 11
2023/9/14, 36, 12
2023/9/15, 36, 12
2023/9/16, 38, 15
2023/9/17, 45, 21
2023/9/18, 56, 14
2023/9/19, 37, 11
2023/9/20, 29, 16
2023/9/21, 38, 15
2023/9/22, 39, 8
2023/9/23, 27, 9
2023/9/24, 31, 12
2023/9/25, 37, 19
2023/9/26, 56, 25
2023/9/27, 57, 28
2023/9/28, 58, 26
2023/9/29, 54, 14
2023/9/30, 41, 12
2024/1/6, , 27
2023/9/8, , 25
