date, pm10, o3, no2, so2, co
2024/2/9, 26, 19, 15, 4, 
2024/2/10, 29, 19, 9, 2, 
2024/2/11, 24, 18, 9, 4, 
2024/2/12, 20, 22, 10, 4, 
2024/2/13, 25, 23, 12, 6, 
2024/2/14, 38, 21, 9, 4, 
2024/2/15, 19, 30, 10, 5, 
2024/2/16, 23, 29, 5, 1, 
2024/2/17, 20, 28, 7, 2, 
2024/2/18, 15, 23, 9, 3, 
2024/2/19, 22, 24, 7, 1, 
2024/2/20, 12, 21, 8, 2, 
2024/2/21, 16, 27, 8, 3, 
2024/2/22, 15, 24, 11, 2, 
2024/2/23, 17, 27, 9, 3, 
2024/2/24, 18, 30, 13, 5, 
2024/2/25, 32, 29, 14, 4, 
2024/2/26, 24, 18, 19, 6, 
2024/2/27, 43, 5, 10, 1, 
2024/2/28, 50, 8, 11, , 
2024/2/29, 31, 9, 16, 1, 
2024/3/1, 45, 18, 14, 2, 
2024/3/2, 42, 32, 7, 3, 
2024/3/3, 20, 29, 11, 4, 
2024/3/4, 24, 11, 8, 2, 
2024/3/5, 42, 14, 12, 4, 
2024/3/6, 37, 19, 7, 3, 
2024/3/7, 26, 24, 13, 4, 
2024/3/8, 36, 29, 11, 4, 
2024/3/9, 37, 31, 6, 3, 
2024/3/10, 18, 21, 8, 1, 
2024/3/11, 21, 8, 8, 2, 
2024/3/12, 28, 20, 10, 3, 
2024/3/13, 32, 27, 16, 6, 
2024/3/14, 42, 31, 11, 4, 
2024/3/15, 28, 28, 5, 3, 
2024/3/16, 16, 33, 2, 1, 
2024/3/17, 11, 28, 4, 1, 
2024/3/18, 11, 22, 9, 5, 
2024/3/19, 27, 30, 17, 8, 
2024/3/20, 51, 32, 19, 11, 
2024/3/21, 54, 19, 7, 3, 
2024/3/22, 23, 34, 5, 1, 
2024/3/23, 18, 31, 5, 1, 
2024/3/24, 10, 25, 7, 1, 
2024/3/25, 13, 36, 10, 3, 
2024/3/26, 21, 34, 5, 2, 
2024/3/27, 12, 34, 5, 2, 
