year,month,city,station_name,station_lat,station_lon,pm25,pm10,o3,no2,so2,co
2017,11,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,7.133333333333334,16.866666666666667,6.5,1.9,4.2
2017,10,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,7.096774193548387,20.967741935483872,4.181818181818182,2.096774193548387,2.433333333333333
2017,9,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,17.666666666666668,24.25925925925926,5.518518518518518,1.5238095238095237,1.9259259259259258
2017,8,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,6.645161290322581,32.806451612903224,4.967741935483871,1.6666666666666667,1.206896551724138
2017,7,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,5.193548387096774,30.193548387096776,3.0344827586206895,,1.7
2017,6,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,11.0,29.9,4.0,1.2222222222222223,1.1111111111111112
2017,5,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,14.709677419354838,38.0,4.645161290322581,1.4838709677419355,2.3214285714285716
2017,4,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,11.1,34.166666666666664,4.333333333333333,1.5333333333333334,2.1379310344827585
2017,3,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,15.870967741935484,29.483870967741936,7.483870967741935,2.032258064516129,3.3225806451612905
2017,2,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,21.857142857142858,26.464285714285715,8.107142857142858,5.035714285714286,5.75
2017,1,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,21.64516129032258,22.322580645161292,8.096774193548388,5.451612903225806,7.161290322580645
2016,12,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,12.448275862068966,22.103448275862068,4.428571428571429,2.9655172413793105,3.3793103448275863
2016,11,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,17.066666666666666,17.166666666666668,7.433333333333334,4.166666666666667,6.733333333333333
