city,date,no_of_cars
Gdynia,2022,25523
Gliwice,2015,11526
Gliwice,2016,12072
Gliwice,2017,11053
Gliwice,2018,12490
Gliwice,2019,12540
Gliwice,2020,12739
Gliwice,2021,12837
Gliwice,2022,13037
Gorzów Wielkopolski,2015,6981
Gorzów Wielkopolski,2016,7353
Gorzów Wielkopolski,2017,7250
Gorzów Wielkopolski,2018,7824
Gorzów Wielkopolski,2019,7924
Gorzów Wielkopolski,2020,8091
Gorzów Wielkopolski,2021,8205
Gorzów Wielkopolski,2022,8315
Grudziądz,2015,4907
Grudziądz,2016,5095
Grudziądz,2017,5046
Grudziądz,2018,5368
Grudziądz,2019,5437
Grudziądz,2020,5522
Grudziądz,2021,5598
Grudziądz,2022,5614
Jastrzębie-Zdrój,2015,6623
Jastrzębie-Zdrój,2016,6912
Jastrzębie-Zdrój,2017,6864
Jastrzębie-Zdrój,2018,7495
Jastrzębie-Zdrój,2019,7497
Jastrzębie-Zdrój,2020,7482
Jastrzębie-Zdrój,2021,7332
Jastrzębie-Zdrój,2022,7491
Kalisz,2015,5653
Kalisz,2016,5780
Kalisz,2017,5547
Kalisz,2018,5897
Kalisz,2019,5899
Kalisz,2020,6003
Kalisz,2021,5928
Kalisz,2022,6014
Katowice,2015,4840
Katowice,2016,5082
Katowice,2017,5111
Katowice,2018,5624
Katowice,2019,5777
Katowice,2020,5940
Katowice,2021,6021
Katowice,2022,6128
Kielce,2015,12351
Kielce,2016,12641
Kielce,2017,12397
Kielce,2018,13457
Kielce,2019,13521
Kielce,2020,13708
Kielce,2021,13781
Kielce,2022,13926
Konin,2015,7523
Konin,2016,7669
Konin,2017,7486
Konin,2018,8050
Konin,2019,8053
Konin,2020,8066
Konin,2021,7913
Konin,2022,7886
Koszalin,2015,6004
Koszalin,2016,6285
Koszalin,2017,6227
Koszalin,2018,6753
Koszalin,2019,6763
Koszalin,2020,6904
Koszalin,2021,6939
Koszalin,2022,7037
Kraków,2015,48212
Kraków,2016,50112
Kraków,2017,50449
Kraków,2018,55093
Kraków,2019,55979
Kraków,2020,57306
Kraków,2021,58522
Kraków,2022,59449
Krosno,2015,2972
Krosno,2016,3129
Krosno,2017,3147
Krosno,2018,3403
Krosno,2019,3416
Krosno,2020,3544
Krosno,2021,3573
Krosno,2022,3616
Legnica,2015,5833
Legnica,2016,6108
Legnica,2017,6067
Legnica,2018,6574
Legnica,2019,6624
Legnica,2020,6732
Legnica,2021,6768
Legnica,2022,6886
Łódź,2015,63193
Łódź,2016,65324
Łódź,2017,64646
Łódź,2018,69870
Łódź,2019,70535
Łódź,2020,71603
Łódź,2021,71962
Łódź,2022,72424
Łomża,2015,5275
Łomża,2016,5407
Łomża,2017,5338
Łomża,2018,5656
Łomża,2019,5712
Łomża,2020,5739
Łomża,2021,5739
Łomża,2022,5845
Lublin,2015,28205
Lublin,2016,29405
Lublin,2017,29003
Lublin,2018,31998
Lublin,2019,32306
Lublin,2020,33128
