city,station_name,station_id,station_lat,station_lon,station_url
Wrocław,"Wrocław - Korzeniowskiego, Poland",8128,51.129378,17.02925,poland/dolnoslaskie/wroclaw-korzeniowskiego
Wrocław,"Wrocław - Wiśniowa, Poland",8129,51.086225,17.012689,poland/dolnoslaskie/wroclaw-wisniowa
Zabrze,"Zabrze, ul. Skłodowskiej-Curie 34, Poland",6549,50.3165,18.772375,poland/slaski/zabrze--ul.-sklodowskiej-curie-34
Zakopane,"Zakopane, Małopolska, Poland",3405,49.293564,19.960083,poland/malopolska/zakopane
Zamość,"Zamość, Poland",6481,50.7230879,23.2519686,poland/lublin/zamosc
Żary,"Żary, Poland",6559,51.64265556,15.12780833,poland/lubuski/zary
Zawiercie,"Zawiercie, ul. Gałczyńskiego, Poland",14918,50.493045,19.439012,poland/slaski/zawiercie--ul.-galczynskiego
Zgierz,"Zgierz, ul. Mielczarskiego 1, Poland",6489,51.856692,19.421231,poland/lodz/zgierz--ul.-mielczarskiego-1
Zielona Góra,"Zielona Góra, Poland",6561,51.93978333,15.51886111,poland/lubuski/zielona-gora
Żyrardów,"Roosevelta, Żyrardów, Mazowieckie, Poland",3395,52.053887,20.430009,poland/mazowieckie/zyrardow/roosevelta
Żywiec,"Żywiec, ul. Kopernika 84, Poland",8281,49.671602,19.234446,poland/slaski/zywiec--ul.-kopernika-84
Żywiec,"Żywiec, ul. Słowackiego 2, Poland",6546,49.688316666667,19.206033333333,poland/slaski/zywiec--ul.-slowackiego-2
