city,station_name,station_id,station_lat,station_lon,station_url,history_file
Inowrocław,"airp. Inowrocław, Poland",6528,52.793055555556,18.240833333333,poland/bydgoszcz/airp.-inowroclaw,airp.-inowrocław-air-quality.csv
Jarosław,"Jarosław-PWSTE-WIOS, Poland",13040,50.012083,22.674772,poland/podkarpacki/jaroslaw-pwste-wios,jarosław-pwste-wios-air-quality.csv
Jasło,"Jasło ul. Sikorskiego, Poland",6563,49.74488611,21.45461667,poland/podkarpacki/jaslo-ul.-sikorskiego,jasło-ul. sikorskiego-air-quality.csv
Jastrzębie-Zdrój,"jastrzebie-zdroj; Jastrzębie-Zdrój, Aleja Józefa Piłsudskiego (Harcerska 3), Poland",14909,49.952544,18.607953,poland/slaski/jastrzebie-zdroj--aleja-jozefa-pilsudskiego/harcerska-3,"jastrzębie-zdrój,-aleja józefa piłsudskiego (harcerska 3)-air-quality.csv"
Kalisz,"Kalisz ul.Hanki Sawickiej, Poland",6534,51.74905278,18.04838889,poland/wielkopolski/kalisz-ul.hanki-sawickiej,kalisz-ul.hanki sawickiej-air-quality.csv
Katowice,"Katowice, ul Kossutha 6, Poland",6540,50.264611,18.975028,poland/slaski/katowice--ul-kossutha-6,"katowice,-ul kossutha 6-air-quality.csv"
Kielce,"Kielce, ul. Targowa 3, Poland",14911,50.878998,20.633692,poland/swietokrzyski/kielce--ul.-targowa-3,"kielce,-ul. targowa 3-air-quality.csv"
Kielce,"Kielce ul. Jagiellońska, Poland",6553,50.8725,20.605,poland/swietokrzyski/kielce-ul.-jagiellonska,kielce-ul. jagiellońska-air-quality.csv
Kłodzko,"Kłodzko - Szkolna, Poland",8133,50.43352222,16.65361389,poland/dolnoslaskie/klodzko-szkolna,kłodzko-- szkolna-air-quality.csv
Konin,"Konin ul. Wyszyńskiego, Poland",6533,52.22563333,18.26903611,poland/wielkopolski/konin-ul.-wyszynskiego,konin ul.-wyszyńskiego-air-quality.csv
Konstancin-Jeziorna,"Wierzejewskiego, Konstancin-Jeziorna, Mazowieckie, Poland",9449,52.080625,21.111186,poland/mazowieckie/konstancin-jeziorna/wierzejewskiego,"wierzejewskiego,-konstancin-jeziorna, mazowieckie-air-quality.csv"
Kościerzyna,"Kościerzyna, Poland",6567,54.119948,17.97702,poland/pomorski/koscierzyna,kościerzyna-air-quality.csv
Koszalin,"Koszalin ul. Armii Krajowej, Poland",6529,54.19398611,16.17254444,poland/szczecinie/koszalin-ul.-armii-krajowej,koszalin-ul. armii krajowej-air-quality.csv
Kraków,"Aleja Krasińskiego, Kraków, Małopolska, Poland",3402,50.057678,19.926189,poland/malopolska/krakow/aleja-krasinskiego,"aleja-krasińskiego, kraków, małopolska-air-quality.csv"
Kraków,"Kraków, ul. Złoty Róg, Małopolska, Poland",8691,50.081197,19.895358,poland/malopolska/krakow--ul.-zloty-rog,"kraków,-ul. złoty róg, małopolska-air-quality.csv"
Kraków,"Kurdwanów, Kraków, Małopolska, Poland",3407,50.010575,19.949189,poland/malopolska/krakow/kurdwanow,"kurdwanów,-kraków, małopolska-air-quality.csv"
Kraków,"Kraków, os. Piastów, Małopolska, Poland",9039,50.099361,20.018317,poland/malopolska/krakow--os.-piastow,"kraków,-os. piastów, małopolska-air-quality.csv"
Kraków,"Kraków, os. Swoszowice, Małopolska, Poland",14683,49.991242,19.936117,poland/malopolska/krakow--os.-swoszowice,"kraków,-os. swoszowice, małopolska-air-quality.csv"
Kraków,"Kraków-ul. Dietla, Małopolska, Poland",8689,50.057447,19.946008,poland/malopolska/krakow-ul.-dietla,"kraków-ul.-dietla, małopolska-air-quality.csv"
Kraków,"Kraków, ul. Telimeny, Małopolska, Poland",10042,50.0192,20.016803,poland/malopolska/krakow--ul.-telimeny,"kraków,-ul. telimeny, małopolska-air-quality.csv"
Krosno,"Krosno-Kletówki-WIOS, Poland",14678,49.690169,21.7497,poland/podkarpacki/krosno-kletowki-wios,krosno-kletówki-wios-air-quality.csv
Lębork,"Lębork, Poland",6569,54.546219,17.74635,poland/pomorski/lebork,lębork-air-quality.csv
Legionowo,"Zegrzyńska, Legionowo, Mazowieckie, Poland",4748,52.407648,20.955992,poland/mazowieckie/legionowo/zegrzynska,"zegrzyńska,-legionowo, mazowieckie-air-quality.csv"
Legnica,"Legnica - Rzeczypospolitej, Poland",8130,51.2045203,16.180513,poland/dolnoslaskie/legnica-rzeczypospolitej,legnica-- rzeczypospolitej-air-quality.csv
Łódź,"Łódź-Gdańska 16, Poland",8121,51.775411,19.4509,poland/lodz/lodz-gdanska-16,łódź-gdańska-16-air-quality.csv
Łódź,"Łódź-Jana Pawła II 15, Poland",9038,51.754613,19.434925,poland/lodz/lodz-jana-pawla-ii-15,łódź-jana-pawła ii 15-air-quality.csv
Łódź,"Łódź, ul. Zachodnia 40, Poland",6483,51.777685,19.4527981,poland/lodz/lodz--ul.-zachodnia-40,"łódź,-ul. zachodnia 40-air-quality.csv"
Łódź,"Łódź-Kilińskiego komunikacyjna, Poland",8120,51.763801,19.467132,poland/lodz/lodz-kilinskiego-komunikacyjna,łódź-kilińskiego-komunikacyjna-air-quality.csv
Łomża,"Łomża-Miejska, Poland",6521,53.1817812,22.0566504,poland/bialystok/lomza-miejska,łomża-miejska-air-quality.csv
Lublin,"Lublin ul.Obywatelska, Poland",6480,51.258828,22.570467,poland/lublin/lublin-ul.obywatelska,lublin-ul.obywatelska-air-quality.csv
Lubliniec,"Lubliniec, ul. Ks. Szymały, Poland",14915,50.675693,18.682065,poland/slaski/lubliniec--ul.-ks.-szymaly,"lubliniec,-ul. ks. szymały-air-quality.csv"
Malbork,"Malbork, Poland",6568,54.031129,19.03278,poland/pomorski/malbork,malbork-air-quality.csv
