city,date,no_of_cars
Grudziądz,2021,24505
Grudziądz,2022,24990
Jastrzębie-Zdrój,2015,26961
Jastrzębie-Zdrój,2016,27492
Jastrzębie-Zdrój,2017,28353
Jastrzębie-Zdrój,2018,28612
Jastrzębie-Zdrój,2019,29386
Jastrzębie-Zdrój,2020,29905
Jastrzębie-Zdrój,2021,30456
Jastrzębie-Zdrój,2022,30717
Jastrzębie-Zdrój,2015,44806
Jastrzębie-Zdrój,2016,46146
Jastrzębie-Zdrój,2017,47681
Jastrzębie-Zdrój,2018,48348
Jastrzębie-Zdrój,2019,49932
Jastrzębie-Zdrój,2020,51044
Jastrzębie-Zdrój,2021,52030
Jastrzębie-Zdrój,2022,52818
Jastrzębie-Zdrój,2015,19571
Jastrzębie-Zdrój,2016,19963
Jastrzębie-Zdrój,2017,20446
Jastrzębie-Zdrój,2018,20809
Jastrzębie-Zdrój,2019,21246
Jastrzębie-Zdrój,2020,21778
Jastrzębie-Zdrój,2021,22374
Jastrzębie-Zdrój,2022,22731
Kalisz,2015,37457
Kalisz,2016,38666
Kalisz,2017,40719
Kalisz,2018,42127
Kalisz,2019,43986
Kalisz,2020,45104
Kalisz,2021,45066
Kalisz,2022,45378
Katowice,2015,30285
Katowice,2016,31028
Katowice,2017,31668
Katowice,2018,31716
Katowice,2019,32354
Katowice,2020,32869
Katowice,2021,33486
Katowice,2022,33815
Katowice,2015,122367
Katowice,2016,127143
Katowice,2017,132994
Katowice,2018,136054
Katowice,2019,140304
Katowice,2020,141829
Katowice,2021,142679
Katowice,2022,143861
Katowice,2015,22982
Katowice,2016,23516
Katowice,2017,24207
Katowice,2018,24745
Katowice,2019,25373
Katowice,2020,25634
Katowice,2021,26121
Katowice,2022,26427
Katowice,2015,42335
Katowice,2016,43180
Katowice,2017,44270
Katowice,2018,44747
Katowice,2019,45690
Katowice,2020,46258
Katowice,2021,47325
Katowice,2022,47921
Katowice,2015,21202
Katowice,2016,21457
Katowice,2017,21952
Katowice,2018,22091
Katowice,2019,22534
Katowice,2020,22936
Katowice,2021,23231
Katowice,2022,23479
Katowice,2015,14850
Katowice,2016,15487
Katowice,2017,15407
Katowice,2018,15736
Katowice,2019,16180
