city,date,no_of_cars
Grudziądz,2019,14865
Grudziądz,2020,15358
Grudziądz,2021,15618
Grudziądz,2022,15699
Jastrzębie-Zdrój,2015,11185
Jastrzębie-Zdrój,2016,11549
Jastrzębie-Zdrój,2017,11656
Jastrzębie-Zdrój,2018,12035
Jastrzębie-Zdrój,2019,12258
Jastrzębie-Zdrój,2020,12581
Jastrzębie-Zdrój,2021,12724
Jastrzębie-Zdrój,2022,12870
Jastrzębie-Zdrój,2015,18270
Jastrzębie-Zdrój,2016,19028
Jastrzębie-Zdrój,2017,19571
Jastrzębie-Zdrój,2018,20361
Jastrzębie-Zdrój,2019,21226
Jastrzębie-Zdrój,2020,21639
Jastrzębie-Zdrój,2021,22200
Jastrzębie-Zdrój,2022,22385
Jastrzębie-Zdrój,2015,8873
Jastrzębie-Zdrój,2016,9300
Jastrzębie-Zdrój,2017,9501
Jastrzębie-Zdrój,2018,9831
Jastrzębie-Zdrój,2019,10088
Jastrzębie-Zdrój,2020,10319
Jastrzębie-Zdrój,2021,10519
Jastrzębie-Zdrój,2022,10585
Kalisz,2015,16421
Kalisz,2016,18056
Kalisz,2017,18984
Kalisz,2018,20318
Kalisz,2019,21240
Kalisz,2020,21953
Kalisz,2021,21812
Kalisz,2022,21687
Katowice,2015,10037
Katowice,2016,10582
Katowice,2017,10672
Katowice,2018,10997
Katowice,2019,11296
Katowice,2020,11553
Katowice,2021,11719
Katowice,2022,11808
Katowice,2015,50391
Katowice,2016,53803
Katowice,2017,56307
Katowice,2018,58198
Katowice,2019,58496
Katowice,2020,57783
Katowice,2021,55963
Katowice,2022,54639
Katowice,2015,10194
Katowice,2016,10677
Katowice,2017,11281
Katowice,2018,11943
Katowice,2019,12157
Katowice,2020,12229
Katowice,2021,11986
Katowice,2022,11778
Katowice,2015,13887
Katowice,2016,14555
Katowice,2017,14888
Katowice,2018,15416
Katowice,2019,15887
Katowice,2020,16190
Katowice,2021,16494
Katowice,2022,16627
Katowice,2015,6953
Katowice,2016,7256
Katowice,2017,7338
Katowice,2018,7591
Katowice,2019,7687
Katowice,2020,7902
Katowice,2021,7989
Katowice,2022,7992
Katowice,2015,4585
Katowice,2016,4756
Katowice,2017,4842
Katowice,2018,5094
Katowice,2019,5280
Katowice,2020,5406
Katowice,2021,5474
Katowice,2022,5518
Kielce,2015,30429
Kielce,2016,32516
Kielce,2017,34204
Kielce,2018,36172
Kielce,2019,37366
Kielce,2020,38204
